Species_name	References
"""Luzula forsteri (Sm.) DC."""	"""Graebner (1934); Schubert et al. (1987)"""
"""Luzula glabrata (Hoppe) Desv."""	"""Graebner (1934); Schubert et al. (1987)"""
"""Luzula lutea (All.) DC."""	"""Graebner (1934)"""
"""Luzula luzulina (Vill.) Racib."""	"""Graebner (1934); Schubert et al. (1987)"""
"""Luzula luzuloides (Lam.) Dandy et Wilmott"""	"""Graebner (1934); Schubert et al. (1987)"""
"""Luzula multiflora (Ehrh.) Lej."""	"""Klimešová, pers. obs."""
"""Luzula multiflora subsp. frigida (Buchenau) V. I. Krecz."""	"""Klimešová, pers. obs."""
"""Luzula nivea (L.) DC."""	"""Graebner (1934); Schubert et al. (1987); Klimešová, pers. obs."""
"""Luzula pilosa (L.) Willd."""	"""Graebner (1934); Grime et al. (1988); Serebrjakov (1952); Schubert et al. (1987); Klimešová, pers. obs."""
"""Luzula spicata (L.) DC."""	"""Graebner (1934); Hess (1909); Schubert et al. (1987); Klimešová, pers. obs."""
"""Luzula sudetica (Willd.) Schult."""	"""Graebner (1934); Schubert et al. (1987); Klimešová, pers. obs."""
"""Luzula sylvatica (Huds.) Gaudin"""	"""Graebner (1934); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lychnis chalcedonica L."""	"""Lukasiewicz (1962)"""
"""Lychnis coronaria (L.) Desr."""	"""Schubert et al. (1987)"""
"""Lychnis flos-cuculi L."""	"""Biere (1991); Biere (1995); Chaloupecká (2000); Chaloupecká and Lepš (2004); Kutschera and Lichtenegger (1992); Serebrjakov (1952); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lycium barbarum L."""	"""Jäger and Werner (2002); Pyšek (1991); Rauh (1937)"""
"""Lycium chinense Mill."""	"""Jäger and Werner (2002)"""
"""Lycopodiella inundata (L.) Holub"""	"""Holub (1964); Jäger and Werner (2002); Rauh (1937); Schubert et al. (1987); Velenovský (1904)"""
"""Lycopodium annotinum L."""	"""Callaghan et al. (1976); Carlsson et al. (1990); Headley et al. (1988); Plotnikov (1977b); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lycopodium clavatum L."""	"""Jäger and Werner (2002); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lycopsis arvensis agg. """	"""Schubert et al. (1987)"""
"""Lycopus europaeus L."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lycopus exaltatus L. f."""	"""Schubert et al. (1987)"""
"""Lysimachia nemorum L."""	"""Leeflang (1999); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lysimachia nummularia L."""	"""Kutschera and Lichtenegger (1992); Leeflang (1999); Lukasiewicz (1962); Schubert et al. (1987); Troll (1941-1942); Klimešová, pers. obs."""
"""Lysimachia punctata L."""	"""Schubert et al. (1987)"""
"""Lysimachia thyrsiflora L."""	"""Glück (1911); Schubert et al. (1987)"""
"""Lysimachia vulgaris L."""	"""Glück (1911); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Lythrum hyssopifolia L."""	"""Buxbaum (1937a); Callaghan (1998)"""
"""Lythrum salicaria L."""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Mal and Lovett-Doust (1997); Mal et al. (1992); Mal et al. (1997); Schoch-Bodmer (1937); Schubert et al. (1987); Stevens et al. (1997); Klimešová, pers. obs."""
"""Lythrum virgatum L."""	"""Buxbaum (1937b); Klimešová, pers. obs."""
"""Mahonia aquifolium (Pursh) Nutt."""	"""Auge and Brandl (1997)"""
"""Maianthemum bifolium (L.) F. W. Schmidt"""	"""Bernátsky and Kirchner (1934); Czarnecka (1986); Irmisch (1850); Schubert et al. (1987); Klimešová, pers. obs."""
"""Malaxis monophyllos (L.) Sw."""	"""Irmisch (1850); Jäger and Werner (2002); Kozhevnikova and Vinogradova (1999); Ziegenspeck (1936)"""
"""Malus sylvestris Mill."""	"""Kutzelnigg (1995)"""
"""Malva alcea L."""	"""Schubert et al. (1987)"""
"""Malva moschata L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Malva neglecta Wallr."""	"""Schubert et al. (1987)"""
"""Malva pusilla Sm."""	"""Schubert et al. (1987)"""
"""Malva sylvestris L."""	"""Schubert et al. (1987)"""
"""Malva verticillata L."""	"""Schubert et al. (1987)"""
"""Marrubium peregrinum L."""	"""Schubert et al. (1987)"""
"""Marrubium vulgare L."""	"""Schubert et al. (1987)"""
"""Marsilea quadrifolia L."""	"""Glück (1911); Schubert et al. (1987); Velenovský (1904)"""
"""Matricaria chamomilla L."""	"""Bockemühl (1983); Schubert et al. (1987)"""
"""Matricaria discoidea DC."""	"""Schubert et al. (1987)"""
"""Matteuccia struthiopteris (L.) Tod."""	"""Schubert et al. (1987)"""
"""Matthiola incana (L.) W. T. Aiton"""	"""Schubert et al. (1987)"""
"""Medicago arabica (L.) Huds."""	"""Schubert et al. (1987)"""
"""Medicago falcata L."""	"""Christiansen (1938-42); Kultiasov and Grigorieva (1978); Kutschera and Lichtenegger (1992)"""
"""Medicago lupulina L."""	"""Christiansen (1938-42); Reichardt (1857); Schubert et al. (1987); Klimešová, pers. obs."""
"""Medicago minima (L.) L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Medicago polymorpha L."""	"""Schubert et al. (1987)"""
"""Medicago sativa agg. """	"""Christiansen (1938-42); Kutschera (1960)"""
"""Melampyrum arvense L."""	"""Schubert et al. (1987)"""
"""Melampyrum barbatum Waldst. et Kit. ex Willd."""	"""Klimešová, pers. obs."""
"""Melampyrum cristatum L."""	"""Schubert et al. (1987)"""
"""Melampyrum nemorosum L."""	"""Schubert et al. (1987)"""
"""Melampyrum pratense L."""	"""Schubert et al. (1987); Serebrjakov (1952)"""
"""Melampyrum sylvaticum L."""	"""Schubert et al. (1987)"""
"""Melica ciliata L. subsp. ciliata """	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Melica nutans L."""	"""Schubert et al. (1987); Serebriakova (1972); Klimešová, pers. obs."""
"""Melica picta K. Koch"""	"""Schubert et al. (1987); Serebriakova (1972)"""
"""Melica transsilvanica Schur"""	"""Schubert et al. (1987)"""
"""Melica uniflora Retz."""	"""Grime et al. (1988); Serebriakova (1972); Schubert et al. (1987); Klimešová, pers. obs."""
"""Melilotus albus Medik."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Melilotus altissimus Thuill."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Melilotus dentatus (Waldst. et Kit.) Pers."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Melilotus indicus (L.) All."""	"""Schubert et al. (1987)"""
"""Melilotus officinalis (L.) Lam."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Melissa officinalis L."""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Melittis melissophyllum L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Mentha aquatica L."""	"""Glück and Kirchner (1908); Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Mentha arvensis L."""	"""Kutschera (1960); Schubert et al. (1987); Troll (1941-1942)"""
"""Mentha longifolia (L.) Huds."""	"""Benneker (1915); Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987)"""
"""Mentha pulegium L."""	"""Glück (1911); Schubert et al. (1987)"""
"""Mentha spicata L."""	"""Schubert et al. (1987)"""
"""Mentha suaveolens Ehrh."""	"""Schubert et al. (1987)"""
"""Mentha x piperita L."""	"""Schubert et al. (1987)"""
"""Mentha x verticillata L."""	"""Schubert et al. (1987)"""
"""Menyanthes trifoliata L."""	"""Haraguchi (1996); Irmisch (1854-1879); Jäger and Werner (2002); Klimešová, pers. obs."""
"""Mercurialis annua L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Mercurialis ovata Sternb. et Hoppe"""	"""Schubert et al. (1987)"""
"""Mercurialis perennis L."""	"""Grime et al. (1988); Lukasiewicz (1962); Mukerji (1936); Schubert et al. (1987); Toropova (1977); Klimešová, pers. obs."""
"""Mertensia maritima (L.) Gray"""	"""Scott (1963a)"""
"""Mespilus germanica L."""	"""Jäger and Werner (2002)"""
"""Meum athamanticum Jacq."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Mibora minima (L.) Desv."""	"""Schubert et al. (1987)"""
"""Microrrhinum minus (L.) Fourr."""	"""Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Microthlaspi perfoliatum (L.) F. K. Mey."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Milium effusum L."""	"""Mühlberg (1967); Schubert et al. (1987)"""
"""Mimulus guttatus DC."""	"""Schubert et al. (1987)"""
"""Mimulus moschatus Lindl."""	"""Schubert et al. (1987)"""
"""Minuartia austriaca (Jacq.) Hayek"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Minuartia biflora (L.) Schinz & Thell."""	"""Hess (1909); Klimešová, pers. obs."""
"""Minuartia cherlerioides (Hoppe) Bech."""	"""Schubert et al. (1987)"""
"""Minuartia hybrida (Vill.) Schischk."""	"""Schubert et al. (1987)"""
"""Minuartia rubra (Scop.) McNeill"""	"""Schubert et al. (1987)"""
"""Minuartia rupestris (Scop.) Schinz & Thell."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Minuartia sedoides (L.) Hiern"""	"""Rauh (1939)"""
"""Minuartia setacea (Thuill.) Hayek"""	"""Schubert et al. (1987)"""
"""Minuartia stricta (Sw.) Hiern"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Minuartia verna (L.) Hiern s. l."""	"""Grime et al. (1988); Hess (1909); Rauh (1937); Schubert et al. (1987)"""
"""Minuartia viscosa (Schreb.) Schinz et Thell."""	"""Schubert et al. (1987)"""
"""Misopates orontium (L.) Rafin."""	"""Rauh (1937); Schubert et al. (1987)"""
"""Moehringia ciliata (Scop.) Dalla Torre"""	"""Schubert et al. (1987)"""
"""Moehringia muscosa L."""	"""Schubert et al. (1987)"""
"""Moehringia trinervia (L.) Clairv."""	"""Schubert et al. (1987)"""
"""Moenchia erecta (L.) G. Gaertn. et al."""	"""Schubert et al. (1987)"""
"""Molinia arundinacea Schrank"""	"""Klimešová, pers. obs."""
"""Molinia caerulea (L.) Moench"""	"""Diemer and Pfadenhauer (1987); Grant (1996); Grime et al. (1988); Kutschera and Lichtenegger (1982); Schubert et al. (1987); Taylor et al. (2001); Troll (1941-1942); Klimešová, pers. obs."""
"""Monarda didyma L."""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Moneses uniflora (L.) A. Gray"""	"""Bagdasarova et Vakhrameeva (1990); Grevillius and Kirchner (1925a); Irmisch (1855); Rauh (1937); Troll (1941-1942); Warming (1908); Klimešová, pers. obs.; """
"""Monotropa hypophegea Wallr."""	"""Jäger and Werner (2002)"""
"""Monotropa hypopitys agg. """	"""Beijerinck (1887); Grevillius and Kirchner (1925b); Irmisch (1857); Jäger and Werner (2002); Rauh (1937); Velenovský (1904)"""
"""Montia fontana agg. """	"""Schubert et al. (1987)"""
"""Morus alba L."""	"""Beijerinck (1887); Jäger and Werner (2002)"""
"""Morus nigra L."""	"""Beijerinck (1887); Jäger and Werner (2002)"""
"""Muscari botryoides (L.) Mill."""	"""Graebner and Kirchner (1934d); Irmisch (1850); Schubert et al. (1987)"""
"""Muscari comosum (L.) Mill."""	"""Graebner and Kirchner (1934d); Schubert et al. (1987); Klimešová, pers. obs."""
"""Muscari neglectum Ten."""	"""Graebner and Kirchner (1934d)"""
"""Muscari tenuiflorum Tausch"""	"""Graebner and Kirchner (1934d); Schubert et al. (1987)"""
"""Myagrum perfoliatum L."""	"""Schubert et al. (1987)"""
"""Mycelis muralis (L.) Dumort."""	"""Beijerinck (1887); Clabby and Osborne (1999); Schubert et al. (1987); Klimešová, pers. obs."""
"""Myosotis alpestris F. W. Schmidt"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Myosotis arvensis (L.) Hill"""	"""Grime et al. (1988); Schubert et al. (1987)"""
"""Myosotis caespitosa Schultz"""	"""Schubert et al. (1987)"""
"""Myosotis decumbens Host"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Myosotis discolor Pers."""	"""Schubert et al. (1987)"""
"""Myosotis nemorosa Besser"""	"""Chaloupecká (2000); Jäger and Werner (2002)"""
"""Myosotis palustris (L.) L."""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Myosotis ramosissima Rochel"""	"""Schubert et al. (1987)"""
"""Myosotis rehsteineri Wartm."""	"""Schubert et al. (1987)"""
"""Myosotis sparsiflora J. C. Mikan ex Pohl"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Myosotis stricta Roem. et Schult."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Myosotis sylvatica Hoffm."""	"""Schubert et al. (1987)"""
"""Myosoton aquaticum (L.) Moench"""	"""Schubert et al. (1987)"""
"""Myosurus minimus L."""	"""Schubert et al. (1987)"""
"""Myrica gale L."""	"""Beijerinck (1887); Jäger and Werner (2002); Skene et al. (2000); van Vloten et al. (1938)"""
"""Myriophyllum alterniflorum DC."""	"""Podbielkowski and Tomaszewicz (1979); Schubert et al. (1987)"""
"""Myriophyllum spicatum L."""	"""Aiken et al. (1979); Hartleb et al. (1993); Podbielkowski and Tomaszewicz (1979); Schubert et al. (1987); Strand and Weisner (2001)"""
"""Myriophyllum verticillatum L."""	"""Bartley and Spence (1987); Glück (1906); Leakey (1981); Möbius (1940); Podbielkowski and Tomaszewicz (1979); Schubert et al. (1987)"""
"""Myrrhis odorata (L.) Scop."""	"""Schubert et al. (1987)"""
"""Najas flexilis (Willd.) Rostk. & W. L. E. Schmidt"""	"""Jäger and Werner (2002)"""
"""Najas marina L."""	"""Agami et al. (1986); Jäger and Werner (2002)"""
"""Najas minor All."""	"""Jäger and Werner (2002)"""
"""Narcissus poeticus L."""	"""Buxbaum (1934a); Schubert et al. (1987)"""
"""Narcissus poeticus subsp. radiiflorus (Salisb.) Baker"""	"""Kutschera and Lichtenegger (1982)"""
"""Narcissus pseudonarcissus L."""	"""Barkham (1992); Buxbaum (1934a); Caldwell and Wallace (1955); Schubert et al. (1987)"""
"""Nardus stricta L."""	"""Grant et al. (1996); Grime et al. (1988); Chadwick (1960); Jakrlová (1984); Klimešová (1989); Kotanska (1983); Kutschera and Lichtenegger (1982); Mühlberg (1967); Schubert et al. (1987); Smith (1918)"""
"""Narthecium ossifragum (L.) Huds."""	"""Kutschera and Lichtenegger (1982); Loew and Kirchner (1934); Schubert et al. (1987); Summerfield (1974)"""
"""Nasturtium microphyllum (Boenn.) Rchb."""	"""Howard and Lyon (1951b); Schubert et al. (1987)"""
"""Nasturtium officinale agg. """	"""Grime et al. (1988); Howard and Lyon (1951a); Schubert et al. (1987)"""
"""Neottia nidus-avis (L.) Rich."""	"""Beijerinck (1887); Jäger and Werner (2002); Rauh (1937); Ziegenspeck (1936)"""
"""Neottianthe cucullata (L.) Schltr."""	"""Ziegenspeck (1936)"""
"""Nepeta cataria L."""	"""Schubert et al. (1987)"""
"""Nepeta grandiflora M. Bieb."""	"""Schubert et al. (1987)"""
"""Nepeta nuda L."""	"""Schubert et al. (1987)"""
"""Nepeta racemosa Lam."""	"""Schubert et al. (1987)"""
"""Neslia paniculata (L.) Desv."""	"""Schubert et al. (1987)"""
"""Nicandra physalodes (L.) Gaertn."""	"""Schubert et al. (1987)"""
"""Nicotiana rustica L."""	"""Schubert et al. (1987)"""
"""Nicotiana tabacum L."""	"""Schubert et al. (1987)"""
"""Nigella arvensis L."""	"""Schubert et al. (1987)"""
"""Nigella damascena L."""	"""Schubert et al. (1987)"""
"""Nigella sativa L."""	"""Schubert et al. (1987)"""
"""Noccaea caerulescens (J. Presl et C. Presl) F. K. Mey."""	"""Schubert et al. (1987)"""
"""Noccaea montana (L.) F. K. Mey."""	"""Schubert et al. (1987)"""
"""Noccaea rotundifolia (L.) Moench"""	"""Hartmann (1957); Hess (1909); Schubert et al. (1987); Klimešová, pers. obs."""
"""Nonea pulla Bernh."""	"""Kutschera (1960); Schubert et al. (1987); Klimešová, pers. obs."""
"""Nuphar lutea (L.) Sm."""	"""Heslop-Harrison (1955a); Ross (1917); Schubert et al. (1987)"""
"""Nuphar pumila (Timm) DC."""	"""Heslop-Harrison (1955b); Schubert et al. (1987)"""
"""Nymphaea alba L."""	"""Heslop-Harrison (1955c); Ross (1917); Schubert et al. (1987); Wiersema (1988)"""
"""Nymphaea candida J. Presl"""	"""Schubert et al. (1987); Wiersema (1988)"""
"""Nymphoides peltata (S. G. Gmel.) Kuntze"""	"""Schubert et al. (1987); Van der Velde et al. (1979)"""
"""Odontites litoralis (Fr.) Fr."""	"""Jäger and Werner (2002)"""
"""Odontites luteus (L.) Clairv."""	"""Schubert et al. (1987)"""
"""Odontites vernus (Bellardi) Dumort."""	"""Schubert et al. (1987)"""
"""Oenanthe aquatica (L.) Poir."""	"""Schubert et al. (1987)"""
"""Oenanthe fistulosa L."""	"""Glück (1911); Schubert et al. (1987)"""
"""Oenanthe fluviatilis (Bab.) Coleman"""	"""Schubert et al. (1987)"""
"""Oenanthe lachenalii C. C. Gmel."""	"""Schubert et al. (1987)"""
"""Oenanthe peucedanifolia Pollich"""	"""Schubert et al. (1987)"""
"""Oenanthe silaifolia M. Bieb."""	"""Schubert et al. (1987)"""
"""Oenothera biennis L."""	"""Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Oenothera issleri Renner ex Rostañski"""	"""Klimešová, pers. obs."""
"""Oenothera parviflora L."""	"""Schubert et al. (1987)"""
"""Omphalodes scorpioides (Haenke) Schrank"""	"""Schubert et al. (1987)"""
"""Omphalodes verna Moench"""	"""Lukasiewicz (1962)"""
"""Onobrychis arenaria (Kit.) DC. subsp. arenaria """	"""Christiansen (1938-42); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Onobrychis montana DC."""	"""Christiansen (1938-42); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Onobrychis viciifolia Scop."""	"""Christiansen (1938-42); Kutschera (1960); Schubert et al. (1987)"""
"""Ononis arvensis L."""	"""Schubert et al. (1987)"""
"""Ononis natrix L."""	"""Schubert et al. (1987)"""
"""Ononis repens L."""	"""Christiansen (1938-42); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Ononis rotundifolia L."""	"""Christiansen (1938-42)"""
"""Ononis spinosa L. subsp. spinosa """	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Ononis spinosa subsp. austriaca (Beck) Gams"""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Onopordum acanthium L."""	"""Schubert et al. (1987)"""
"""Onosma arenaria Waldst. et Kit."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Ophioglossum vulgatum L."""	"""Beijerinck (1887); Filin (1995); Rauh (1937); Schubert et al. (1987)"""
"""Ophrys apifera Huds."""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Ophrys holoserica (Burm. f.) Greuter"""	"""Schubert et al. (1987)"""
"""Ophrys insectifera L."""	"""Irmisch (1850); Schubert et al. (1987); Ziegenspeck (1936)"""
"""Ophrys sphegodes agg."""	"""Hutchings and Price (1999); Schubert et al. (1987); Ziegenspeck (1936)"""
"""Orchis anthropophora (L.) All."""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Orchis coriophora L."""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Orchis laxiflora Lam."""	"""Ziegenspeck (1936)"""
"""Orchis mascula (L.) L."""	"""Irmisch (1850); Schubert et al. (1987); Ziegenspeck (1936)"""
"""Orchis militaris L."""	"""Farrell (1985); Schubert et al. (1987); Vakhramejeva et al. (1995); Ziegenspeck (1936)"""
"""Orchis morio L."""	"""Irmisch (1850); Kutschera and Lichtenegger (1982); Schubert et al. (1987); Stojanow (1917); Ziegenspeck (1936)"""
