Species_name	References
"""Artemisia abrotanum L."""	"""Schubert et al. (1987)"""
"""Artemisia absinthium L."""	"""Maw et al. (1985); Schubert et al. (1987)"""
"""Artemisia annua L."""	"""Schubert et al. (1987)"""
"""Artemisia austriaca Jacq."""	"""Golomedova (1959); Rauh (1937); Schubert et al. (1987)"""
"""Artemisia biennis Willd."""	"""Schubert et al. (1987)"""
"""Artemisia campestris L."""	"""Lukasiewitz (1985); Rauh (1937); Schubert et al. (1987)"""
"""Artemisia dracunculus L."""	"""Schubert et al. (1987)"""
"""Artemisia genipi Weber ex Stechm."""	"""Klimešová, pers. obs."""
"""Artemisia laciniata Willd."""	"""Schubert et al. (1987)"""
"""Artemisia maritima L."""	"""Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Artemisia pontica L."""	"""Schubert et al. (1987)"""
"""Artemisia rupestris L."""	"""Schubert et al. (1987)"""
"""Artemisia scoparia Waldst. et Kit."""	"""Schubert et al. (1987)"""
"""Artemisia siversiana Willd."""	"""Schubert et al. (1987)"""
"""Artemisia tournefortiana Rchb."""	"""Schubert et al. (1987)"""
"""Artemisia umbelliformis Lam."""	"""Schubert et al. (1987)"""
"""Artemisia verlotiorum Lamotte"""	"""Schubert et al. (1987)"""
"""Artemisia vulgaris L."""	"""Beijerinck (1887); Jäger and Werner (2002); Rauh (1937); Klimešová, pers. obs."""
"""Arum italicum subsp. neglectum (F. Towns.) Prime"""	"""Prime (1954)"""
"""Arum maculatum agg. """	"""Grime et al. (1988); Höck et al. (1934); Irmisch (1850); Möbius (1940); Schubert et al. (1987); Sowter (1948); Velenovský (1904); Klimešová, pers. obs."""
"""Aruncus dioicus (Walter) Fernald"""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Asarum europaeum L."""	"""Benneker (1915); Irmisch (1850); Lukasiewicz (1962); Serebriakov and Serebriakova (1965); Schubert et al. (1987); Velenovský (1904); Klimešová, pers. obs."""
"""Asclepias syriaca L."""	"""Bhowmik and Bandeen (1976); Lukasiewicz (1962); Rauh (1937)"""
"""Asparagus acutifolius L."""	"""Bernátsky and Kirchner (1934)"""
"""Asparagus maritimus (L.) Mill."""	"""Bernátsky and Kirchner (1934)"""
"""Asparagus officinalis L."""	"""Bernátsky and Kirchner (1934); Lukasiewicz (1962); Schubert et al. (1987)"""
"""Asparagus tenuifolius Lam."""	"""Bernátsky and Kirchner (1934)"""
"""Asperugo procumbens L."""	"""Schubert et al. (1987)"""
"""Asperula arvensis L."""	"""Schubert et al. (1987)"""
"""Asperula cynanchica L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Asperula tinctoria L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Asphodelus albus Mill."""	"""Loew and Kirchner (1934b)"""
"""Asplenium adiantum-nigrum L."""	"""Schubert et al. (1987)"""
"""Asplenium adulterinum Milde"""	"""Schubert et al. (1987)"""
"""Asplenium ceterach L."""	"""Schubert et al. (1987)"""
"""Asplenium cuneifolium Viv."""	"""Schubert et al. (1987)"""
"""Asplenium fissum Kit. ex Willd."""	"""Schubert et al. (1987)"""
"""Asplenium fontanum (L.) Bernh."""	"""Schubert et al. (1987)"""
