"accepted_taxa","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Plant.height_m_BIEN"
"Arabidopsis","Arabidopsis arenosa_Arabidopsis halleri_Arabidopsis thaliana","",233.625977777778,32.9504973015873,11.385,166.098444444444,35.7,"4",19.7887706530612,0.176666666666667
"Arabidopsis arenosa","Arabidopsis arenosa","",146.643333333333,27.8213333333333,NA,203.747333333333,NA,"4",NA,0.15
"Arabidopsis arenosa subsp. arenosa","Arabidopsis arenosa","",146.643333333333,27.8213333333333,NA,203.747333333333,NA,"4",NA,0.15
"Arabidopsis halleri","Arabidopsis halleri","",285.88,38.165,11.385,191.048,NA,"4",NA,0.175
"Arabidopsis thaliana","Arabidopsis thaliana","",268.3546,32.8651585714286,NA,103.5,35.7,"4",19.7887706530612,0.205
"Arabis","Arabis hirsuta_Arabis sagittata","",321.8375,23.5031388888889,NA,152.61,20,"4_5_6_5",0.111266735294118,0.4182857
"Arabis hirsuta","Arabis hirsuta","",374,27.6282777777778,NA,166,20,"4_5_6",0.122533470588235,0.4115714
"Arabis sagittata","Arabis sagittata","",269.675,19.378,NA,139.22,NA,"5",0.1,0.425
"Arctium","Arctium lappa_Arctium minus_Arctium tomentosum","",71113.4166666667,25.3204746474183,NA,190.840901661111,NA,"7_7_8",9.33930555555555,0.833987654322222
"Arctium lappa","Arctium lappa","",25226.8333333333,17.4017445605882,NA,192.0846482,NA,"7",9.96833333333333,0.852962962966667
"Arctium minus","Arctium minus","",117000,24.0666666666667,NA,177.333333333333,NA,"7_8",8.71027777777778,1.12
"Arctium tomentosum","Arctium tomentosum","",NA,34.493012715,NA,203.10472345,NA,"7",NA,0.529
"Aremonia agrimonoides agrimonoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arenaria","Arenaria leptoclados_Arenaria serpyllifolia","",11.43076,20.99235875,NA,242.923125,NA,"5",0.066891380952381,0.164715875
"Arenaria hispanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arenaria leptoclados","Arenaria leptoclados","",NA,NA,NA,NA,NA,"5",NA,NA
"Arenaria serpyllifolia","Arenaria serpyllifolia","",11.43076,20.99235875,NA,242.923125,NA,"5",0.066891380952381,0.164715875
"Argentina anserina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina anserina subsp. anserina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aria edulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arisarum simorrhinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arisarum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia clematitis","Aristolochia clematitis","",8534.625,16.934,NA,270.193,NA,"5",NA,0.425
"Armoracia rusticana","Armoracia rusticana","",72418.3333333333,18.34,NA,183.666666666667,NA,"5_6",NA,0.95
"Arnoseris minima","Arnoseris minima","",1205.5,32.818,NA,97.922,NA,"6",NA,0.035
"Arrhenatherum","Arrhenatherum elatius","Yellow",1397.9225,30.2525991922669,13.3244474615385,289.026250425,35.1649434323077,"6",2.87263636363636,1.04941666666667
"Arrhenatherum elatius","Arrhenatherum elatius","Yellow",1397.9225,30.2525991922669,13.3244474615385,289.026250425,35.1649434323077,"6",2.87263636363636,1.04941666666667
