"original_taxa","accepted_wfo","wfo_taxonID","wfo_rank","wfo_authorship","wfo_family","wfo_genus","wfo_status","wfo_match"
"Spergula segetalis","Spergula segetalis","wfo-0000439910","species","Vill.","Caryophyllaceae","Spergula","Unchecked","MATCH"
"Spergularia","Spergularia","wfo-4000035930","genus","(Pers.) J.Presl & C.Presl","Caryophyllaceae","Spergularia","Accepted","MATCH"
"Spergularia diandra","Spergularia diandra","wfo-0000436482","species","(Guss.) Heldr.","Caryophyllaceae","Spergularia","Accepted","MATCH"
"Spergularia media","Spergularia media","wfo-0000439919","species","(L.) C.Presl","Caryophyllaceae","Spergularia","Accepted","MATCH"
"Spergularia rubra","Spergularia rubra","wfo-0000436420","species","J.Presl & C.Presl","Caryophyllaceae","Spergularia","Accepted","MATCH"
"Spergularia rubra nicaeensis","Spergularia rubra","wfo-0000436420","species","J.Presl & C.Presl","Caryophyllaceae","Spergularia","Accepted","FUZZY"
"Spergularia segetalis","Spergularia segetalis","wfo-0000436424","species","(L.) G.Don","Caryophyllaceae","Spergularia","Accepted","MATCH"
"Sporobolus","Sporobolus","wfo-4000036182","genus","R.Br.","Poaceae","Sporobolus","Accepted","MATCH"
"Sporobolus indicus","Sporobolus indicus","wfo-0000901192","species","(L.) R.Br.","Poaceae","Sporobolus","Accepted","MATCH"
"Sporobulus",NA,"",NA,NA,NA,NA,NA,"NOT FOUND"
"Stachys","Stachys","wfo-4000036243","genus","L.","Lamiaceae","Stachys","Accepted","MATCH"
"Stachys alopecuros","Betonica alopecuros","wfo-0000329123","species","L.","Lamiaceae","Betonica","Accepted","MATCH"
"Stachys annua","Stachys annua","wfo-0000313685","species","(L.) L.","Lamiaceae","Stachys","Accepted","MATCH"
"Stachys arvensis","Stachys arvensis","wfo-0000313721","species","(L.) L.","Lamiaceae","Stachys","Accepted","MATCH"
"Stachys germanica","Stachys germanica","wfo-0000314021","species","L.","Lamiaceae","Stachys","Accepted","MATCH"
"Stachys germanica germanica","Stachys germanica","wfo-0000314021","species","L.","Lamiaceae","Stachys","Accepted","FUZZY"
"Stachys officinalis","Betonica officinalis","wfo-0000329771","species","L.","Lamiaceae","Betonica","Accepted","MATCH"
"Stachys palustris","Stachys palustris","wfo-0000314357","species","L.","Lamiaceae","Stachys","Accepted","MATCH"
"Stachys recta","Stachys recta","wfo-0000314473","species","L.","Lamiaceae","Stachys","Accepted","MATCH"
"Stachys recta grandiflora","Stachys recta","wfo-0000314473","species","L.","Lamiaceae","Stachys","Accepted","FUZZY"
"Stachys sylvatica","Stachys sylvatica","wfo-0000314658","species","L.","Lamiaceae","Stachys","Accepted","MATCH"
"Stellaria","Stellaria","wfo-4000036401","genus","L.","Caryophyllaceae","Stellaria","Accepted","MATCH"
