"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Ajuga reptans","Ajuga reptans",0.23835,1.4655,0.6253,0.28029,0.18945,0.18483,0.16464,"Ajuga reptans",6.1,6.2,NA,NA,0,NA,"Ajuga reptans","3","Myrmecochory",0.183333333333333,1.33839666666666
"Alcea rosea","Alcea rosea",1.30212,1.89005,0.77,0.73636,0.2,0.65758,0.54,"Alcea rosea",8,4.3,6.5,6.5,0,7.1,"Alcea rosea","2","Local non-specific dispersal",1.832,8.94266666666667
"Alchemilla","Alchemilla acutiloba_Alchemilla monticola_Alchemilla xanthochlora_Aphanes australis",1.2971175,1.82857,0.56163,0.5214875,0.200915,0.7192175,0.36418,"Alchemilla acutiloba_Alchemilla monticola_Alchemilla reniformis_Alchemilla xanthochlora_Aphanes australis",6.94,5.9,4.35,5.02,0,4.44,"Alchemilla acutiloba_Alchemilla monticola_Alchemilla reniformis_Alchemilla xanthochlora_Aphanes australis","1_2","Local non-specific dispersal",0.236291666666667,0.418383333333333
"Alchemilla australis","Aphanes australis",1.61924,2.17047,0.69861,0.68264,0.26099,0.46023,0.62817,"Aphanes australis",7.4,4,3.6,4,0,7,"Aphanes australis","1","Local non-specific dispersal",0.0833333333333333,0.248
"Alchemilla monticola","Alchemilla monticola",1.62651,1.86855,0.50191,0.49286,0.17312,1.09432,0.33827,"Alchemilla monticola",6.7,NA,4.5,5.4,0,3.9,"Alchemilla monticola","1","Local non-specific dispersal",0.245625,0.595
"Alchemilla reniformis",NA,NA,NA,NA,NA,NA,NA,NA,"Alchemilla reniformis",7.3,7.7,3.3,4.3,0,3.3,"Alchemilla reniformis","1","Local non-specific dispersal",0.1825,NA
"Alchemilla vulgaris","Alchemilla acutiloba",1.07959,1.78372,0.53992,0.49124,0.16111,0.81603,0.2513,"Alchemilla acutiloba",6.8,NA,6,5.5,0,4.1,"Alchemilla acutiloba","2","Local non-specific dispersal",0.365,0.3712
"Alchemilla xanthochlora","Alchemilla xanthochlora",0.86313,1.49154,0.50608,0.41921,0.20844,0.50629,0.23898,"Alchemilla xanthochlora",6.5,6,NA,5.9,0,3.9,"Alchemilla xanthochlora","2","Local non-specific dispersal",0.305,0.459333333333333
"Alisma lanceolatum","Alisma lanceolatum",1.41619,1.75262,0.35053,0.33658,0.13169,0.19886,0.14182,"Alisma lanceolatum",7.3,10.1,5.9,6.6,0.1,NA,"Alisma lanceolatum","2","Local non-specific dispersal",0.45625,0.42815
"Alisma plantago-aquatica","Alisma plantago-aquatica",1.31097,1.72473,0.33048,0.31082,0.10498,0.18333,0.11888,"Alisma plantago-aquatica",6.9,10.1,7.3,6.4,0.1,NA,"Alisma plantago-aquatica","2","Local non-specific dispersal",0.555,0.350141666666666
"Alkanna tinctoria","Alkanna tinctoria",0.86156,1.70513,0.60654,0.48559,0.33394,0.25716,0.31622,"Alkanna tinctoria",8,1.7,NA,7.3,0.3,9.7,"Alkanna tinctoria","1","Local non-specific dispersal",0.2375,4.141
"Alkekengi officinarum","Physalis alkekengi",0.13855,1.31752,0.70321,0.24238,0.19167,0.08472,0.15226,"Physalis alkekengi",5.6,6.1,7,7.2,0,6.8,"Physalis alkekengi","2","Local non-specific dispersal",0.503,1.579
"Alliaria","Alliaria petiolata",0.1495,1.33661,0.67947,0.25214,0.19025,0.07498,0.12819,"Alliaria petiolata",5.2,5.4,8,7.3,0,5.9,"Alliaria petiolata","2","Local non-specific dispersal",0.526,2.57695233333333
"Alliaria petiolata","Alliaria petiolata",0.1495,1.33661,0.67947,0.25214,0.19025,0.07498,0.12819,"Alliaria petiolata",5.2,5.4,8,7.3,0,5.9,"Alliaria petiolata","2","Local non-specific dispersal",0.526,2.57695233333333
"Allium","Allium ampeloprasum_Allium flavum_Allium neapolitanum_Allium nigrum_Allium oleraceum_Allium paniculatum_Allium polyanthum_Allium roseum_Allium rotundum_Allium scorodoprasum_Allium sphaerocephalon_Allium subhirsutum_Allium triquetrum_Allium ursinum_Allium vineale",0.784255333333333,1.60722266666667,0.636612,0.460440666666667,0.246285333333333,0.351012,0.263083333333333,"Allium ampeloprasum_Allium cepa_Allium cyrilli_Allium flavum_Allium neapolitanum_Allium nigrum_Allium oleraceum_Allium paniculatum_Allium polyanthum_Allium roseum_Allium rotundum_Allium sativum_Allium scaberrimum_Allium scorodoprasum_Allium sphaerocephalon_Allium subhirsutum_Allium triquetrum_Allium ursinum_Allium vineale",7.41666666666667,3.98125,5.48333333333333,6.92105263157895,0.0789473684210526,8.04615384615385,"Allium ampeloprasum_Allium cepa_Allium cyrilli_Allium flavum_Allium neapolitanum_Allium nigrum_Allium oleraceum_Allium paniculatum_Allium polyanthum_Allium roseum_Allium rotundum_Allium sativum_Allium scaberrimum_Allium scorodoprasum_Allium sphaerocephalon_Allium subhirsutum_Allium triquetrum_Allium ursinum_Allium vineale","1_2_3","Local non-specific dispersal_Myrmecochory",0.486574074074074,4.50700040856838
"Allium ampeloprasum","Allium ampeloprasum",0.86544,1.23052,0.67239,0.59928,0.22794,0.42735,0.29618,"Allium ampeloprasum",7.8,3.9,6.1,6.6,0.3,NA,"Allium ampeloprasum","2","Local non-specific dispersal",0.8,2.74625
"Allium cepa",NA,NA,NA,NA,NA,NA,NA,NA,"Allium cepa",7.7,5,6.7,5.7,0,7.7,"Allium cepa","2","Local non-specific dispersal",0.673,5
"Allium cyrilli",NA,NA,NA,NA,NA,NA,NA,NA,"Allium cyrilli",8,4.5,4,6.5,0,10,"Allium cyrilli","2","Local non-specific dispersal",0.5,NA
"Allium flavum","Allium flavum",0.87893,1.65178,0.44734,0.36954,0.32012,0.22392,0.17726,"Allium flavum",8.5,3,2,6.8,0,6.5,"Allium flavum","2","Local non-specific dispersal",0.367083333333333,1.34805
"Allium neapolitanum","Allium neapolitanum",0.22234,1.48209,0.735,0.325,0.22273,0.12301,0.22273,"Allium neapolitanum",7.3,4.3,6.7,7.3,0.3,9.3,"Allium neapolitanum","2","Local non-specific dispersal",0.335,NA
"Allium nigrum","Allium nigrum",2.28143,2.28143,0.91132,0.91132,0.13208,0.44943,0.73774,"Allium nigrum",8,4,6.3,7,0,9.3,"Allium nigrum","2","Local non-specific dispersal",0.75,9.04
"Allium oleraceum","Allium oleraceum",0.6876,1.67986,0.54919,0.41684,0.23933,0.47562,0.20557,"Allium oleraceum",7.3,3.4,3.7,6.4,0,NA,"Allium oleraceum","2","Local non-specific dispersal",0.494,6.63655555583333
"Allium paniculatum","Allium paniculatum",0.59261,1.65985,0.55895,0.40515,0.33553,0.29315,0.19292,"Allium paniculatum",7.7,NA,5,6,0,6.3,"Allium paniculatum","2","Local non-specific dispersal",0.458333333333333,1.206
"Allium polyanthum","Allium polyanthum",1.07988,1.36301,0.78,0.735,0.17619,0.58503,0.42857,"Allium polyanthum",7,4,5,7,0,7.7,"Allium polyanthum","2","Local non-specific dispersal",0.505,NA
"Allium porrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium roseum","Allium roseum",0.77511,1.56683,0.68834,0.57689,0.28274,0.44138,0.26527,"Allium roseum",7.4,3.4,NA,7,0,8.6,"Allium roseum","2","Local non-specific dispersal",0.3875,1.825
"Allium rotundum","Allium rotundum",1.16838,1.87521,0.53581,0.49638,0.3276,0.55659,0.22052,"Allium rotundum",7.6,4.1,4.5,7.7,0,NA,"Allium rotundum","2","Local non-specific dispersal",0.428,1.3412
"Allium sativum",NA,NA,NA,NA,NA,NA,NA,NA,"Allium sativum",7.7,5.3,6,7,0.3,7,"Allium sativum","2","Local non-specific dispersal",0.529,NA
"Allium scaberrimum",NA,NA,NA,NA,NA,NA,NA,NA,"Allium scaberrimum",7,4,7,8,0,8,"Allium scaberrimum","2","Local non-specific dispersal",NA,NA
"Allium scorodoprasum","Allium scorodoprasum",0.67743,1.70974,0.56957,0.4433,0.18712,0.56638,0.24586,"Allium scorodoprasum",6.4,NA,6.7,6.8,0,NA,"Allium scorodoprasum","2","Local non-specific dispersal",0.626,15.2111
"Allium sphaerocephalon","Allium sphaerocephalon",1.0145,1.72375,0.49984,0.42364,0.35234,0.31065,0.22323,"Allium sphaerocephalon",8.7,2.7,2,7.9,0,NA,"Allium sphaerocephalon","2","Local non-specific dispersal",0.560416666666667,1.53248308888889
