"original_taxa","original_ID","database_ID","simplified_taxa","accepted_taxa","in_WFO","match","accepted_wfo"
"Elytrigia campestris",NA,"FR_VIN_SAVM","Elytrigia campestris","Elymus pungens campestris","Accepted","Synonym","Elymus pungens subsp. campestris"
"Elytrigia campestris",NA,"FR_VIN_GIGNAC","Elytrigia campestris","Elymus pungens campestris","Accepted","Synonym","Elymus pungens subsp. campestris"
"Elytrigia campestris",NA,"FR_VIN_HERAULT","Elytrigia campestris","Elymus pungens campestris","Accepted","Synonym","Elymus pungens subsp. campestris"
"Elytrigia campestris",NA,"FR_ALL_LANGUEDOC","Elytrigia campestris","Elymus pungens campestris","Accepted","Synonym","Elymus pungens subsp. campestris"
"Elytrigia juncea",NA,"FR_VIN_SAVM","Elytrigia juncea","Thinopyrum junceum","Accepted","Synonym","Thinopyrum junceum"
"Elytrigia repens","AGRRE","FR_ANN_BARR","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Elytrigia repens","AGRRE","FR_ANN_BIOVIGILANCE","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Elytrigia repens","AGRRE","FR_ANN_FENAY_GFPHD","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Elytrigia repens","AGRRE","FR_VIN_BIOVIGILANCE","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Elytrigia repens",NA,"FR_VIN_HERAULT","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Elytrigia repens",NA,"FR_ALL_LANGUEDOC","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Elytrigia repens",NA,"FR_VIN_SAVM","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Epilobium dodonaei subsp. fleischeri","EPIFL","FR_ANN_BARR","Epilobium dodonaei fleischeri","Epilobium fleischeri","Accepted","Synonym","Epilobium fleischeri"
"Ervilia hirsuta","VICHI","FR_ANN_BIOVIGILANCE","Ervilia hirsuta","Vicia hirsuta","Accepted","Synonym","Vicia hirsuta"
"Ervilia hirsuta","VICHI","FR_VIN_BIOVIGILANCE","Ervilia hirsuta","Vicia hirsuta","Accepted","Synonym","Vicia hirsuta"
"Ervilia hirsuta",NA,"FR_VIN_GIGNAC","Ervilia hirsuta","Vicia hirsuta","Accepted","Synonym","Vicia hirsuta"
"Ervum gracile",NA,"FR_VIN_HERAULT","Ervum gracile","Vicia parviflora","Accepted","Synonym","Vicia parviflora"
"Ervum tetraspermum","VICTE","FR_ANN_BIOVIGILANCE","Ervum tetraspermum","Vicia tetrasperma","Accepted","Synonym","Vicia tetrasperma"
"Ficaria verna","FICVE","FR_ANN_BIOVIGILANCE","Ficaria verna","Ranunculus ficaria","Accepted","Synonym","Ranunculus ficaria"
"Ficaria verna",NA,"FR_ALL_LANGUEDOC","Ficaria verna","Ranunculus ficaria","Accepted","Synonym","Ranunculus ficaria"
"Ficaria verna",NA,"FR_VIN_SAVM","Ficaria verna","Ranunculus ficaria","Accepted","Synonym","Ranunculus ficaria"
"Galium corrudifolium",NA,"FR_ALL_LANGUEDOC","Galium corrudifolium","Galium lucidum corrudifolium","Accepted","Synonym","Galium lucidum corrudifolium"
"Galium corrudifolium",NA,"FR_VIN_SAVM","Galium corrudifolium","Galium lucidum corrudifolium","Accepted","Synonym","Galium lucidum corrudifolium"
"Hainardia cylindrica",NA,"FR_VIN_HERAULT","Hainardia cylindrica","Parapholis cylindrica","Accepted","Synonym","Parapholis cylindrica"
"Loncomelos narbonensis",NA,"FR_VIN_SAVM","Loncomelos narbonensis","Loncomelos narbonense","Accepted","Fuzzy","Loncomelos narbonense"
"Loncomelos pyrenaicus","OTGPN","FR_ANN_BARR","Loncomelos pyrenaicus","Loncomelos pyrenaicum","Accepted","Fuzzy","Loncomelos pyrenaicum"
"Lycopsis arvensis","LYCAR","FR_ANN_BIOVIGILANCE","Lycopsis arvensis","Anchusa arvensis","Accepted","Synonym","Anchusa arvensis"
"Malcolmia littorea",NA,"FR_VIN_SAVM","Malcolmia littorea","Marcus-kochia littorea","Accepted","Synonym","Marcus-kochia littorea"
"Medicago sativa subsp. falcata","MEDFA","FR_ANN_BARR","Medicago sativa falcata","Medicago falcata","Accepted","Synonym","Medicago falcata"
"Melilotus spicatus",NA,"FR_VIN_GIGNAC","Melilotus spicatus","Melilotus neapolitanus","Accepted","Synonym","Melilotus neapolitanus"
"Melilotus spicatus",NA,"FR_VIN_SAVM","Melilotus spicatus","Melilotus neapolitanus","Accepted","Synonym","Melilotus neapolitanus"
"Myosurus minimus","MYSMI","FR_ANN_BARR","Myosurus minimus","Ranunculus minimus","Accepted","Synonym","Ranunculus minimus"
"Myosurus minimus","MYSMI","FR_ANN_BIOVIGILANCE","Myosurus minimus","Ranunculus minimus","Accepted","Synonym","Ranunculus minimus"
"Ophrys exaltata",NA,"FR_ALL_LANGUEDOC","Ophrys exaltata","Ophrys sphegodes sphegodes","Accepted","Synonym","Ophrys sphegodes subsp. sphegodes"
"Papaver argemone","PAPAR","FR_ANN_BARR","Papaver argemone","Roemeria argemone","Accepted","Synonym","Roemeria argemone"
"Papaver argemone","PAPAR","FR_ANN_BIOVIGILANCE","Papaver argemone","Roemeria argemone","Accepted","Synonym","Roemeria argemone"
"Papaver argemone",NA,"FR_VIN_SAVM","Papaver argemone","Roemeria argemone","Accepted","Synonym","Roemeria argemone"
"Parthenocissus inserta","PRTIN","FR_ANN_BIOVIGILANCE","Parthenocissus inserta","Parthenocissus quinquefolia","Accepted","Synonym","Parthenocissus quinquefolia"
"Parthenocissus inserta","PRTIN","FR_VIN_BIOVIGILANCE","Parthenocissus inserta","Parthenocissus quinquefolia","Accepted","Synonym","Parthenocissus quinquefolia"
"Parthenocissus inserta",NA,"FR_VIN_SAVM","Parthenocissus inserta","Parthenocissus quinquefolia","Accepted","Synonym","Parthenocissus quinquefolia"
"Phillyrea media",NA,"FR_VIN_SAVM","Phillyrea media","Phillyrea latifolia","Accepted","Synonym","Phillyrea latifolia"
"Phleum nodosum",NA,"FR_VIN_SAVM","Phleum nodosum","Phleum pratense","Accepted","Synonym","Phleum pratense"
"Pisum","PIBSS","FR_ANN_BIOVIGILANCE","Pisum","Lathyrus","Accepted","Synonym","Lathyrus"
"Plantago arenaria",NA,"FR_VIN_SAVM","Plantago arenaria","Plantago indica","Accepted","Synonym","Plantago indica"
"Poa pratensis subsp. angustifolia","POAAG","FR_ANN_BARR","Poa pratensis angustifolia","Poa angustifolia","Accepted","Synonym","Poa angustifolia"
"Podospermum laciniatum",NA,"FR_VIN_GIGNAC","Podospermum laciniatum","Scorzonera laciniata","Accepted","Synonym","Scorzonera laciniata"
"Podospermum laciniatum",NA,"FR_VIN_HERAULT","Podospermum laciniatum","Scorzonera laciniata","Accepted","Synonym","Scorzonera laciniata"
"Podospermum laciniatum",NA,"FR_ALL_LANGUEDOC","Podospermum laciniatum","Scorzonera laciniata","Accepted","Synonym","Scorzonera laciniata"
"Podospermum laciniatum",NA,"FR_VIN_SAVM","Podospermum laciniatum","Scorzonera laciniata","Accepted","Synonym","Scorzonera laciniata"
"Poterium sanguisorba","SANMI","FR_ANN_BARR","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Poterium sanguisorba","SANMI","FR_ANN_FENAY_GFPHD","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Poterium sanguisorba","SANMI","FR_VIN_BIOVIGILANCE","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Poterium sanguisorba",NA,"FR_VIN_GIGNAC","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Poterium sanguisorba",NA,"FR_VIN_HERAULT","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Poterium sanguisorba",NA,"FR_ALL_LANGUEDOC","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Poterium sanguisorba",NA,"FR_VIN_SAVM","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Poterium verrucosum",NA,"FR_ALL_LANGUEDOC","Poterium verrucosum","Sanguisorba verrucosa","Accepted","Synonym","Sanguisorba verrucosa"
"Psilurus incurvus",NA,"FR_VIN_SAVM","Psilurus incurvus","Festuca incurva","Accepted","Synonym","Festuca incurva"
"Schedonorus arundinaceus","FESAR","FR_ANN_BIOVIGILANCE","Schedonorus arundinaceus","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Schedonorus arundinaceus","FESAR","FR_ANN_FENAY_GFPHD","Schedonorus arundinaceus","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Schedonorus arundinaceus",NA,"FR_VIN_HERAULT","Schedonorus arundinaceus","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Schedonorus arundinaceus",NA,"FR_ALL_LANGUEDOC","Schedonorus arundinaceus","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Schedonorus giganteus","FESGI","FR_ANN_BARR","Schedonorus giganteus","Lolium giganteum","Accepted","Synonym","Lolium giganteum"
"Schedonorus pratensis","FESPR","FR_ANN_BIOVIGILANCE","Schedonorus pratensis","Lolium pratense","Accepted","Synonym","Lolium pratense"
"Schedonorus pratensis","FESPR","FR_ANN_FENAY_GFPHD","Schedonorus pratensis","Lolium pratense","Accepted","Synonym","Lolium pratense"
"Scorpiurus subvillosus",NA,"FR_ALL_LANGUEDOC","Scorpiurus subvillosus","Scorpiurus muricatus","Accepted","Synonym","Scorpiurus muricatus"
"Scorpiurus subvillosus",NA,"FR_VIN_SAVM","Scorpiurus subvillosus","Scorpiurus muricatus","Accepted","Synonym","Scorpiurus muricatus"
"Setaria italica subsp. viridis","SETVI","FR_ANN_BARR","Setaria italica viridis","Setaria viridis","Accepted","Synonym","Setaria viridis"
"Setaria italica subsp. viridis","SETVI","FR_ANN_BIOVIGILANCE","Setaria italica viridis","Setaria viridis","Accepted","Synonym","Setaria viridis"
"Setaria italica subsp. viridis","SETVI","FR_ANN_FENAY_GFPHD","Setaria italica viridis","Setaria viridis","Accepted","Synonym","Setaria viridis"
"Setaria italica subsp. viridis","SETVI","FR_VIN_BIOVIGILANCE","Setaria italica viridis","Setaria viridis","Accepted","Synonym","Setaria viridis"
"Setaria italica subsp. viridis",NA,"FR_VIN_SAVM","Setaria italica viridis","Setaria viridis","Accepted","Synonym","Setaria viridis"
"Sinapis arvensis","SINAR","FR_ANN_BARR","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Sinapis arvensis","SINAR","FR_ANN_BIOVIGILANCE","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Sinapis arvensis","SINAR","FR_ANN_FENAY_GFPHD","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Sinapis arvensis","SINAR","FR_VIN_BIOVIGILANCE","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Sinapis arvensis",NA,"FR_VIN_SAVM","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Symphyotrichum squamatum",NA,"FR_VIN_HERAULT","Symphyotrichum squamatum","Aster squamatus","Accepted","Synonym","Aster squamatus"
"Symphyotrichum squamatum",NA,"FR_VIN_SAVM","Symphyotrichum squamatum","Aster squamatus","Accepted","Synonym","Aster squamatus"
"Valerianella dentata",NA,"FR_ALL_LANGUEDOC","Valerianella dentata","Valeriana dentata","Accepted","Synonym","Valeriana dentata"
"Valerianella discoidea",NA,"FR_ALL_LANGUEDOC","Valerianella discoidea","Valeriana discoidea","Accepted","Synonym","Valeriana discoidea"
"Valerianella locusta","VLLLO","FR_VIN_BIOVIGILANCE","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"Valerianella locusta",NA,"FR_VIN_HERAULT","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"Valerianella locusta",NA,"FR_ALL_LANGUEDOC","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"valerianella locusta",NA,"FR_ALL_LANGUEDOC","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"Valerianella locusta",NA,"FR_VIN_SAVM","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
