"accepted_taxa","full_name","wfo_rank"
"Brassica juncea","Brassica juncea (L.) Czern.","species"
"Brassica napus","Brassica napus L.","species"
"Brassica oleracea","Brassica oleracea L.","species"
"Brassica rapa","Brassica rapa L.","species"
"Brassica tournefortii","Brassica tournefortii Gouan","species"
"Brassicaceae","Brassicaceae Burnett","family"
"Brassiceae","Brassiceae DC.","tribe"
"Briza","Briza L.","genus"
"Briza maxima","Briza maxima L.","species"
"Briza media","Briza media L.","species"
"Briza minor","Briza minor L.","species"
"Bromeliaceae","Bromeliaceae Juss.","family"
"Bromus","Bromus L.","genus"
"Bromus arvensis","Bromus arvensis L.","species"
"Bromus benekenii","Bromus benekenii (Lange) Trimen","species"
"Bromus catharticus","Bromus catharticus Vahl","species"
"Bromus commutatus","Bromus commutatus Schrad.","species"
"Bromus diandrus","Bromus diandrus Roth","species"
"Bromus erectus","Bromus erectus Huds.","species"
"Bromus fasciculatus","Bromus fasciculatus C.Presl","species"
"Bromus grossus","Bromus grossus Desf. ex DC.","species"
"Bromus hordeaceus","Bromus hordeaceus L.","species"
"Bromus inermis","Bromus inermis Leyss.","species"
"Bromus japonicus","Bromus japonicus Houtt.","species"
"Bromus lanceolatus","Bromus lanceolatus Roth","species"
"Bromus madritensis","Bromus madritensis L.","species"
"Bromus racemosus","Bromus racemosus L.","species"
"Bromus ramosus","Bromus ramosus Huds.","species"
"Bromus rigidus","Bromus rigidus Roth","species"
"Bromus rubens","Bromus rubens L.","species"
"Bromus secalinus","Bromus secalinus L.","species"
"Bromus squarrosus","Bromus squarrosus L.","species"
"Bromus sterilis","Bromus sterilis L.","species"
"Bromus tectorum","Bromus tectorum L.","species"
"Bryonia","Bryonia L.","genus"
"Bryonia alba","Bryonia alba L.","species"
"Bryonia cretica","Bryonia cretica L.","species"
"Buglossoides","Buglossoides Moench","genus"
"Buglossoides arvensis","Buglossoides arvensis (L.) I.M.Johnst.","species"
"Bunias erucago","Bunias erucago L.","species"
"Bunias orientalis","Bunias orientalis L.","species"
"Bunium","Bunium L.","genus"
"Bunium bulbocastanum","Bunium bulbocastanum L.","species"
"Bunium pachypodum","Bunium pachypodum P.W.Ball","species"
"Buphthalmum salicifolium","Buphthalmum salicifolium L.","species"
"Bupleurum rotundifolium","Bupleurum rotundifolium L.","species"
"Bupleurum subovatum","Bupleurum subovatum Link ex Spreng.","species"
"Bupleurum tenuissimum","Bupleurum tenuissimum L.","species"
"Cakile maritima","Cakile maritima Scop.","species"
"Calamagrostis","Calamagrostis Adans.","genus"
"Calamagrostis canescens","Calamagrostis canescens (Weber) Roth","species"
"Calamagrostis epigejos","Calamagrostis epigejos (L.) Roth","species"
"Calendula","Calendula L.","genus"
"Calendula arvensis","Calendula arvensis M.Bieb.","species"
"Calendula officinalis","Calendula officinalis L.","species"
"Calepina irregularis","Calepina irregularis (Asso) Thell.","species"
"Calystegia","Calystegia R.Br.","genus"
"Calystegia sepium","Calystegia sepium (L.) R.Br.","species"
"Camelina","Camelina Crantz","genus"
"Camelina alyssum","Camelina alyssum Thell.","species"
"Camelina microcarpa","Camelina microcarpa Andrz. ex DC.","species"
"Camelina rumelica","Camelina rumelica Velen.","species"
"Camelina sativa","Camelina sativa (L.) Crantz","species"
"Campanula","Campanula L.","genus"
"Campanula erinus","Campanula erinus L.","species"
"Campanula glomerata","Campanula glomerata L.","species"
"Campanula patula","Campanula patula L.","species"
"Campanula persicifolia","Campanula persicifolia L.","species"
"Campanula rapunculoides","Campanula rapunculoides L.","species"
"Campanula rapunculus","Campanula rapunculus L.","species"
"Campanula rotundifolia","Campanula rotundifolia L.","species"
"Cannabis sativa","Cannabis sativa L.","species"
"Capsella","Capsella Medik.","genus"
"Capsella bursa-pastoris","Capsella bursa-pastoris Medik.","species"
"Capsella rubella","Capsella rubella Reut.","species"
"Cardamine","Cardamine L.","genus"
"Cardamine flexuosa","Cardamine flexuosa With.","species"
"Cardamine hirsuta","Cardamine hirsuta L.","species"
"Cardamine pratensis","Cardamine pratensis L.","species"
"Cardueae","Cardueae Cass.","tribe"
"Carduncellus mitissimus","Carduncellus mitissimus (L.) DC.","species"
"Carduus","Carduus L.","genus"
"Carduus acanthoides","Carduus acanthoides L.","species"
"Carduus crispus","Carduus crispus Guirao ex Nyman","species"
"Carduus litigiosus","Carduus litigiosus Nocca & Balb.","species"
"Carduus nigrescens","Carduus nigrescens Vill.","species"
"Carduus nutans","Carduus nutans L.","species"
"Carduus personata","Carduus personata (L.) Jacq.","species"
"Carduus pycnocephalus","Carduus pycnocephalus L.","species"
