"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","original_taxa_YvozValPol","Flower.color_YvozValPol","Flower.class_YvozValPol","Flower.type_YvozValPol","PV.Bees_YvozValPol","PV.Bumblebees_YvozValPol","PV.butterflies_YvozValPol","PV.Hoverflies_YvozValPol","Nectar.quantity_YvozValPol","Pollen.quantity_YvozValPol","Floral.symmetry_YvozValPol","Flower.UV.reflectance.centre_YvozValPol","Flower.UV.reflectance.periphery_YvozValPol","original_taxa_SPVignes","Flowering.onset_SPVignes","Plant.height_cm_SPVignes","Strategy_Grime_SPVignes","Lifeform_Raunkier_SPVignes","original_taxa_ATVinedivers","Growth.form_ATVinedivers","Strategy.Grime_ATVinedivers","Plant.lifespan_ATVinedivers","original_taxa_Hodgson2023","Lifecycle_Hodgson2023","SLA_mm2.mg-1_Hodgson2023","Vegetative.propagation_Hodgson2023","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Inflorescence_GIFT","Leaf.area_cm2_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT","original_taxa_FlorealData","Flower.color_FlorealData","Lifeform_FlorealData","Plant.height_cm_FlorealData","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.UV.reflectance_Biolflor","Seed.mass_mg_Biolflor","original_taxa_CLOPLA","Clonal.index_CLOPLA","offspring_CLOPLA","offspring.wsmall_CLOPLA","lateral.spread_cm_CLOPLA","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Achillea ptarmica","Achillea ptarmica",1.60234,1.88365,0.51384,0.50343,0.23994,1.04369,0.21846,"Achillea ptarmica",7.5,7.5,3,4.2,0,5.2,"Achillea ptarmica","2","Local non-specific dispersal",0.79375,0.296383333333333,"Achillea ptarmica","Eurasiatique septentrional","Blanc","Anémochore","7-9","Corymbe de capitules","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achillea ptarmica",NA,NA,NA,NA,NA,NA,NA,NA,1.19,"Perennial","C3",1.25,0.5875,"Biotic","Insect",NA,0.0002625,162.96,NA,NA,NA,NA,"Achillea ptarmica",0.4,0.2,"Achillea ptarmica",3.5,NA,"""achillea ptarmica l.""","5",6,6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achnatherum calamagrostis","Achnatherum calamagrostis",0.32875,1.3604,0.5828,0.26021,0.23865,0.09489,0.15497,"Achnatherum calamagrostis",9,3,2,8.3,0,6,"Achnatherum calamagrostis","2","Local non-specific dispersal",0.675,0.395,"Achnatherum calamagrostis","Européen méridional","Blanc","Anémochore","5-8","Panicule d'épillets","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achnatherum calamagrostis","Anemochorous","Anemochorous",NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",1.2,NA,NA,NA,NA,0.0003925,NA,NA,NA,NA,NA,NA,NA,NA,"Achnatherum calamagrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis","Adonis aestivalis_Adonis annua_Adonis flammea",1.91755666666667,2.07670333333333,0.82203,0.819913333333333,0.181753333333333,0.654116666666667,0.73779,"Adonis aestivalis_Adonis annua_Adonis flammea",7.2,3.63333333333333,4,7.63333333333333,0,6.4,"Adonis aestivalis_Adonis annua_Adonis flammea","2","Local non-specific dispersal",0.324,9.02938888888887,"Adonis aestivalis_Adonis aestivalis subsp. squarrosa_Adonis annua_Adonis flammea","Eurasiatique_Européen méridional","Rose","Épizoochore","5-7","Cyme unipare hélicoïde","Entomogame","Adonis aestivalis_Adonis annua_Adonis flammea","Red","Pollen flowers","Pollen flower",4.39,1,3.74,4.39,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adonis aestivalis_Adonis annua_Adonis flammea","Ann",23.5925464666667,NA,"Adonis aestivalis_Adonis annua_Adonis flammea","Autochorous_Unspecialized","Anthropochorous_Autochorous",NA,NA,NA,NA,NA,NA,1.935,"Annual","C3",0.533333333333333,0.241666666666667,"Biotic","Insect","Bee_Fly_Insect",0.00891116666666667,420.7,"Adonis annua","Rose","Autre",32.5,"Adonis annua",0.25,11.6,"Adonis aestivalis_Adonis annua_Adonis flammea",3.5,NA,"""adonis aestivalis l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis aestivalis","Adonis aestivalis",1.80024,1.99792,0.8239,0.82009,0.15947,0.58359,0.78911,"Adonis aestivalis",7,3.5,3.8,7.8,0,6.4,"Adonis aestivalis","2","Local non-specific dispersal",0.35,10.1406666666666,"Adonis aestivalis","Eurasiatique","Rose","Épizoochore",NA,"Cyme unipare hélicoïde","Entomogame","Adonis aestivalis","Red","Pollen flowers","Pollen flower",4.39,1,3.74,4.39,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adonis aestivalis","Ann",23.72666667,NA,"Adonis aestivalis","Autochorous","Autochorous",NA,NA,NA,NA,NA,NA,1.935,"Annual","C3",0.6,0.2375,"Biotic","Insect","Fly",0.0092435,420.7,NA,NA,NA,NA,NA,NA,NA,"Adonis aestivalis",3.5,NA,"""adonis aestivalis l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis aestivalis squarrosa","Adonis aestivalis",1.80024,1.99792,0.8239,0.82009,0.15947,0.58359,0.78911,"Adonis aestivalis",7,3.5,3.8,7.8,0,6.4,"Adonis aestivalis","2","Local non-specific dispersal",0.35,10.1406666666666,"Adonis aestivalis subsp. squarrosa","Eurasiatique","Rose","Épizoochore","5-7","Cyme unipare hélicoïde","Entomogame","Adonis aestivalis","Red","Pollen flowers","Pollen flower",4.39,1,3.74,4.39,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adonis aestivalis","Ann",23.72666667,NA,"Adonis aestivalis","Autochorous","Autochorous",NA,NA,NA,NA,NA,NA,1.935,"Annual","C3",0.6,0.2375,"Biotic","Insect","Fly",0.0092435,420.7,NA,NA,NA,NA,NA,NA,NA,"Adonis aestivalis",3.5,NA,"""adonis aestivalis l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis annua","Adonis annua",2.11979,2.11979,0.85052,0.85052,0.17959,0.80473,0.73118,"Adonis annua",7.6,4,5,6.5,0,NA,"Adonis annua","2","Local non-specific dispersal",0.32,10.0575,"Adonis annua","Eurasiatique","Rose","Épizoochore",NA,"Cyme unipare hélicoïde","Entomogame","Adonis annua","Red","Pollen flowers","Pollen flower",4.39,1,3.74,4.39,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adonis annua","Ann",21.78750844,NA,"Adonis annua","Unspecialized","Anthropochorous",NA,NA,NA,NA,NA,NA,NA,"Annual","C3",0.5,0.1625,"Biotic","Insect","Bee",0.0113,NA,"Adonis annua","Rose","Autre",32.5,"Adonis annua",0.25,11.6,"Adonis annua",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis flammea","Adonis flammea",1.83264,2.1124,0.79167,0.78913,0.2062,0.57403,0.69308,"Adonis flammea",7,3.4,3.2,8.6,0,6.4,"Adonis flammea","2","Local non-specific dispersal",0.302,6.89,"Adonis flammea","Européen méridional","Rose","Épizoochore","5-7","Cyme unipare hélicoïde","Entomogame","Adonis flammea","Red","Pollen flowers","Pollen flower",4.39,1,3.74,4.39,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adonis flammea","Ann",25.26346429,NA,"Adonis flammea","Autochorous","Autochorous",NA,NA,NA,NA,NA,NA,NA,"Annual","C3",0.5,0.325,"Biotic","Insect","Insect",0.00619,NA,NA,NA,NA,NA,NA,NA,NA,"Adonis flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adoxa moschatellina","Adoxa moschatellina",0.07528,1.32034,0.68933,0.1879,0.1814,0.01335,0.1035,"Adoxa moschatellina",4.3,6.1,7.3,6.9,0,4.8,"Adoxa moschatellina","6","Endozoochory",0.104,38.2096666666666,"Adoxa moschatellina","Circumboréal","Vert","Endozoochore","3-5","Cyme capituliforme","Entomogame, autogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adoxa moschatellina","Zoochorous",NA,NA,0.6,0.4,NA,NA,NA,19.03667,"Perennial","C3",0.15,0.0925,"Biotic","Insect","Fly",0.0322361665,384.5,NA,NA,NA,NA,"Adoxa moschatellina",0.06,0.71,"Adoxa moschatellina",11.5,NA,"""adoxa moschatellina l.""","5",4,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops","Aegilops biuncialis_Aegilops cylindrica_Aegilops geniculata_Aegilops neglecta_Aegilops triuncialis",1.171366,1.937996,0.710332,0.62509,0.297602,0.542504,0.344982,"Aegilops biuncialis_Aegilops cylindrica_Aegilops geniculata_Aegilops neglecta_Aegilops triuncialis",8.28,3.34,4.74,6.72,0,9.3,"Aegilops biuncialis_Aegilops cylindrica_Aegilops geniculata_Aegilops neglecta_Aegilops triuncialis","6","Epizoochory",0.252,22.7523777777667,"Aegilops biuncialis_Aegilops cylindrica_Aegilops geniculata_Aegilops neglecta_Aegilops triuncialis","Méditerranéen_Méditerranéen oriental_Subtropical(paléo)","Vert","Épizoochore","5-6_5-7","Épi d'épillets","Anémogame","Aegilops geniculata_Aegilops triuncialis","Green","Wind flowers","Not applicable",1,1,2.458076092,1,"None","Plenty","Actinomorphe",3.5,3.5,"Aegilops ovata","5",40,NA,"Thérophytes estivaux",NA,NA,NA,NA,"Aegilops cylindrica_Aegilops geniculata_Aegilops lorentii_Aegilops neglecta_Aegilops triuncialis","Ann",21.004695166,NA,"Aegilops biuncialis_Aegilops cylindrica_Aegilops geniculata_Aegilops neglecta_Aegilops triuncialis","Unspecialized",NA,NA,2.05,0.75,NA,NA,"Spike",NA,"Annual","C3",0.38,0.086,NA,NA,NA,0.018084519,241,"Aegilops geniculata",NA,"Autre",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops biuncialis","Aegilops biuncialis",0.71151,1.75858,0.72321,0.45526,0.31949,0.14758,0.30973,"Aegilops biuncialis",7.8,4.4,5,7,0,NA,"Aegilops biuncialis","6","Epizoochory",0.14,22.9,"Aegilops biuncialis","Subtropical(paléo)","Vert","Épizoochore","5-6","Épi d'épillets","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aegilops lorentii","Ann",17.04333333,NA,"Aegilops biuncialis",NA,NA,NA,3,0.8,NA,NA,"Spike",NA,"Annual","C3",0.3,NA,NA,NA,NA,0.012843333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops cylindrica","Aegilops cylindrica",1.63651,2.13001,0.70055,0.69066,0.26914,1.04788,0.3875,"Aegilops cylindrica",8.6,2.8,4,6,0,NA,"Aegilops cylindrica","6","Epizoochory",0.38125,29.855,"Aegilops cylindrica","Méditerranéen oriental","Vert","Épizoochore","5-7","Épi d'épillets","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aegilops cylindrica","Ann",23.53198254,NA,"Aegilops cylindrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annual","C3",0.5,NA,NA,NA,NA,0.0285414285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops geniculata","Aegilops geniculata",1.27204,1.9407,0.77176,0.72822,0.31268,0.44058,0.36372,"Aegilops geniculata",8.7,3.7,3.7,7,0,9.3,"Aegilops geniculata","6","Epizoochory",0.147083333333333,29.0518888888333,"Aegilops geniculata","Subtropical(paléo)","Vert","Épizoochore",NA,"Épi d'épillets","Anémogame","Aegilops geniculata","Green","Wind flowers","Not applicable",1,1,2.458076092,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aegilops geniculata","Ann",25.83944784,NA,"Aegilops geniculata","Unspecialized",NA,NA,1.1,0.7,NA,NA,"Spike",NA,"Annual","C3",0.3,0.086,NA,NA,NA,0.0131095,241,"Aegilops geniculata",NA,"Autre",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops neglecta","Aegilops neglecta",1.03197,1.89886,0.68338,0.61385,0.28765,0.52018,0.33823,"Aegilops neglecta",8,2.9,5.3,7.3,0,NA,"Aegilops neglecta","6","Epizoochory",0.245,20.23,"Aegilops neglecta","Subtropical(paléo)","Vert","Épizoochore","5-7","Épi d'épillets","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aegilops ovata","5",40,NA,"Thérophytes estivaux",NA,NA,NA,NA,"Aegilops neglecta","Ann",16.6,NA,"Aegilops neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annual","C3",0.35,NA,NA,NA,NA,0.02075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops triuncialis","Aegilops triuncialis",1.2048,1.96183,0.67276,0.63746,0.29905,0.5563,0.32573,"Aegilops triuncialis",8.3,2.9,5.7,6.3,0,NA,"Aegilops triuncialis","6","Epizoochory",0.346666666666667,11.725,"Aegilops triuncialis","Méditerranéen","Vert","Épizoochore",NA,"Épi d'épillets","Anémogame","Aegilops triuncialis","Green","Wind flowers","Not applicable",1,1,2.458076092,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aegilops triuncialis","Ann",22.00871212,NA,"Aegilops triuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annual","C3",0.45,NA,NA,NA,NA,0.0151783335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegonychon purpurocaeruleum","Aegonychon purpurocaeruleum",0.03342,1.30818,0.68578,0.12238,0.20725,0.01681,0.10024,"Aegonychon purpurocaeruleum",5.4,3.9,3.9,7.7,0,NA,"Aegonychon purpurocaeruleum","2","Local non-specific dispersal",0.407,14.8516666666666,"Buglossoides purpurocaerulea","Européen","Bleu, rose","Barochore","4-6","Racème de cymes unipares scorpioïdes","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aegonychon purpurocaeruleum","Autochorous","Autochorous",NA,NA,NA,NA,NA,NA,7.1475,"Perennial","C3",0.6,0.45,"Biotic","Insect",NA,0.0122383333333333,370.1,NA,NA,NA,NA,"Buglossoides purpurocaerulea",0.6,15,"Buglossoides purpurocaerulea",18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegopodium podagraria","Aegopodium podagraria",0.25686,1.37788,0.64607,0.31874,0.17788,0.15813,0.15586,"Aegopodium podagraria",4.9,6,7.7,6.7,0.2,5,"Aegopodium podagraria","2","Local non-specific dispersal",0.745666666666667,2.12286666666666,"Aegopodium podagraria","Eurasiatique septentrional","Blanc","Barochore","5-8","Ombelle d'ombellules","Entomogame","Aegopodium podagraria","White","Flowers with open nectar","Disk flowers with nectar open",4.638654512,3.886983048,6.23151492,5.225195199,"Present","Present","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aegopodium podagraria","Autochorous","Autochorous",NA,NA,NA,NA,NA,NA,135.00242,"Perennial","C3",1,0.479,"Biotic","Insect",NA,0.00188225,287.97,NA,NA,NA,NA,"Aegopodium podagraria",0.7,1.99,"Aegopodium podagraria",3.5,NA,"""aegopodium podagraria l.""","3",1.9,1.9,9.3,"Aegopodium podagraria","3","1",5,"5",76.125,NA,"Mpd",1.918,"10","Autumn",300
"Aesculus hippocastanum","Aesculus hippocastanum",0.08203,1.38372,0.70456,0.21257,0.18575,0.02743,0.12949,"Aesculus hippocastanum",5.4,5.5,6.6,5.8,0,6.4,"Aesculus hippocastanum","6","Dyszoochory",23.9258333333333,10342.325,"Aesculus hippocastanum","Introduit (balkans)","Blanc","Dyszoochore","5","Cyme multipare","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aesculus hippocastanum",NA,NA,NA,NA,NA,NA,NA,NA,65.287,"Perennial","C3",30,20.1666666666667,"Biotic","Insect","Bee",10.34243662,137,NA,NA,NA,NA,"Aesculus hippocastanum",19.625,NA,"Aesculus hippocastanum",11.5,10594.8166666667,"""aesculus hippocastanum l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa","Aethusa cynapium",1.10771,1.78759,0.80849,0.76598,0.15284,0.48072,0.69388,"Aethusa cynapium",6.3,5.2,6.7,7.5,0,5.3,"Aethusa cynapium","2","Local non-specific dispersal",0.818333333333334,1.45201783333333,"Aethusa cynapium_Aethusa cynapium subsp. cynapium","Eurasiatique septentrional","Blanc","Barochore","6-10","Ombelle d'ombellules","Entomogame","Aethusa cynapium","White","Flowers with open nectar","Disk flowers with nectar open",1,3.93,5.33,4.77,"Plenty","Plenty","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aethusa cynapium","Ann",33.39294557,NA,"Aethusa cynapium","Autochorous",NA,NA,NA,NA,NA,NA,NA,32.07757,"Annual","C3",2.2,0.442,"Biotic","Insect",NA,0.0016308335,327.28,NA,NA,NA,NA,"Aethusa cynapium",0.625,1.64,"Aethusa cynapium",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium","Aethusa cynapium",1.10771,1.78759,0.80849,0.76598,0.15284,0.48072,0.69388,"Aethusa cynapium",6.3,5.2,6.7,7.5,0,5.3,"Aethusa cynapium","2","Local non-specific dispersal",0.818333333333334,1.45201783333333,"Aethusa cynapium","Eurasiatique septentrional","Blanc","Barochore","6-10","Ombelle d'ombellules","Entomogame","Aethusa cynapium","White","Flowers with open nectar","Disk flowers with nectar open",1,3.93,5.33,4.77,"Plenty","Plenty","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aethusa cynapium","Ann",33.39294557,NA,"Aethusa cynapium","Autochorous",NA,NA,NA,NA,NA,NA,NA,32.07757,"Annual","C3",2.2,0.442,"Biotic","Insect",NA,0.0016308335,327.28,NA,NA,NA,NA,"Aethusa cynapium",0.625,1.64,"Aethusa cynapium",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium cynapium","Aethusa cynapium",1.10771,1.78759,0.80849,0.76598,0.15284,0.48072,0.69388,"Aethusa cynapium",6.3,5.2,6.7,7.5,0,5.3,"Aethusa cynapium","2","Local non-specific dispersal",0.818333333333334,1.45201783333333,"Aethusa cynapium subsp. cynapium","Eurasiatique septentrional","Blanc","Barochore","6-10","Ombelle d'ombellules","Entomogame","Aethusa cynapium","White","Flowers with open nectar","Disk flowers with nectar open",1,3.93,5.33,4.77,"Plenty","Plenty","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aethusa cynapium","Ann",33.39294557,NA,"Aethusa cynapium","Autochorous",NA,NA,NA,NA,NA,NA,NA,32.07757,"Annual","C3",2.2,0.442,"Biotic","Insect",NA,0.0016308335,327.28,NA,NA,NA,NA,"Aethusa cynapium",0.625,1.64,"Aethusa cynapium",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium segetalis","Aethusa cynapium",1.10771,1.78759,0.80849,0.76598,0.15284,0.48072,0.69388,"Aethusa cynapium",6.3,5.2,6.7,7.5,0,5.3,"Aethusa cynapium","2","Local non-specific dispersal",0.818333333333334,1.45201783333333,"Aethusa cynapium","Eurasiatique septentrional","Blanc","Barochore","6-10","Ombelle d'ombellules","Entomogame","Aethusa cynapium","White","Flowers with open nectar","Disk flowers with nectar open",1,3.93,5.33,4.77,"Plenty","Plenty","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aethusa cynapium","Ann",33.39294557,NA,"Aethusa cynapium","Autochorous",NA,NA,NA,NA,NA,NA,NA,32.07757,"Annual","C3",2.2,0.442,"Biotic","Insect",NA,0.0016308335,327.28,NA,NA,NA,NA,"Aethusa cynapium",0.625,1.64,"Aethusa cynapium",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium segetalis","Aethusa cynapium",1.10771,1.78759,0.80849,0.76598,0.15284,0.48072,0.69388,"Aethusa cynapium",6.3,5.2,6.7,7.5,0,5.3,"Aethusa cynapium","2","Local non-specific dispersal",0.818333333333334,1.45201783333333,"Aethusa cynapium","Eurasiatique septentrional","Blanc","Barochore","6-10","Ombelle d'ombellules","Entomogame","Aethusa cynapium","White","Flowers with open nectar","Disk flowers with nectar open",1,3.93,5.33,4.77,"Plenty","Plenty","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aethusa cynapium","Ann",33.39294557,NA,"Aethusa cynapium","Autochorous",NA,NA,NA,NA,NA,NA,NA,32.07757,"Annual","C3",2.2,0.442,"Biotic","Insect",NA,0.0016308335,327.28,NA,NA,NA,NA,"Aethusa cynapium",0.625,1.64,"Aethusa cynapium",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrimonia","Agrimonia eupatoria",0.83225,1.69485,0.54101,0.43842,0.24194,0.60411,0.19299,"Agrimonia eupatoria",7.1,4.1,3.9,7.3,0.1,NA,"Agrimonia eupatoria","6","Epizoochory",0.659666666666667,15.0787308833333,"Agrimonia eupatoria_Agrimonia eupatoria subsp. eupatoria","Eurasiatique","Jaune","Épizoochore","6-9","Épi simple","Entomogame, autogame","Agrimonia eupatoria","Yellow","Pollen flowers","Pollen flower",4.97,1,4.1,5.54,"None","Plenty","Actinomorphe",53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agrimonia eupatoria","Herb.perenn",19.523,"0","Agrimonia eupatoria","Zoochorous","Epizoochorous","Yellow",1.3,0.4,NA,NA,"Raceme",84.61,"Perennial","C3",1.5,0.333,"Biotic","Insect",NA,0.0142465,184.5,"Agrimonia eupatoria","Jaune","Autre",75,"Agrimonia eupatoria",0.6,NA,"Agrimonia eupatoria",53,NA,"""agrimonia eupatoria l.""","3",1,1,3,"Agrimonia eupatoria","3","1",4,"6",35,1,"Py",19.9384875,"10","Autumn",179.4666667
"Agrimonia eupatoria","Agrimonia eupatoria",0.83225,1.69485,0.54101,0.43842,0.24194,0.60411,0.19299,"Agrimonia eupatoria",7.1,4.1,3.9,7.3,0.1,NA,"Agrimonia eupatoria","6","Epizoochory",0.659666666666667,15.0787308833333,"Agrimonia eupatoria","Eurasiatique","Jaune","Épizoochore","6-9","Épi simple","Entomogame, autogame","Agrimonia eupatoria","Yellow","Pollen flowers","Pollen flower",4.97,1,4.1,5.54,"None","Plenty","Actinomorphe",53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agrimonia eupatoria","Herb.perenn",19.523,"0","Agrimonia eupatoria","Zoochorous","Epizoochorous","Yellow",1.3,0.4,NA,NA,"Raceme",84.61,"Perennial","C3",1.5,0.333,"Biotic","Insect",NA,0.0142465,184.5,"Agrimonia eupatoria","Jaune","Autre",75,"Agrimonia eupatoria",0.6,NA,"Agrimonia eupatoria",53,NA,"""agrimonia eupatoria l.""","3",1,1,3,"Agrimonia eupatoria","3","1",4,"6",35,1,"Py",19.9384875,"10","Autumn",179.4666667
"Agrimonia eupatoria eupatoria","Agrimonia eupatoria",0.83225,1.69485,0.54101,0.43842,0.24194,0.60411,0.19299,"Agrimonia eupatoria",7.1,4.1,3.9,7.3,0.1,NA,"Agrimonia eupatoria","6","Epizoochory",0.659666666666667,15.0787308833333,"Agrimonia eupatoria subsp. eupatoria","Eurasiatique","Jaune","Épizoochore","6-9","Épi simple","Entomogame, autogame","Agrimonia eupatoria","Yellow","Pollen flowers","Pollen flower",4.97,1,4.1,5.54,"None","Plenty","Actinomorphe",53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agrimonia eupatoria","Herb.perenn",19.523,"0","Agrimonia eupatoria","Zoochorous","Epizoochorous","Yellow",1.3,0.4,NA,NA,"Raceme",84.61,"Perennial","C3",1.5,0.333,"Biotic","Insect",NA,0.0142465,184.5,"Agrimonia eupatoria","Jaune","Autre",75,"Agrimonia eupatoria",0.6,NA,"Agrimonia eupatoria",53,NA,"""agrimonia eupatoria l.""","3",1,1,3,"Agrimonia eupatoria","3","1",4,"6",35,1,"Py",19.9384875,"10","Autumn",179.4666667
