"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Aquilegia vulgaris","Aquilegia vulgaris","Eurasiatique","Bleu","Épizoochore","","Cyme unipare hélicoïde","Entomogame"
"Arabidopsis","Arabidopsis arenosa_Arabidopsis arenosa subsp. arenosa_Arabidopsis halleri_Arabidopsis thaliana","Cosmopolite_Européen central","Blanc_Bleu, rose","Anémochore","3-7_4-7","Racème simple","Autogame_Entomogame"
"Arabidopsis arenosa","Arabidopsis arenosa","Européen central","Bleu, rose","Anémochore","4-7","Racème simple","Entomogame"
"Arabidopsis arenosa arenosa","Arabidopsis arenosa subsp. arenosa","Européen central","Bleu, rose","Anémochore","4-7","Racème simple","Entomogame"
"Arabidopsis halleri","Arabidopsis halleri","Européen central","Blanc","Anémochore","","Racème simple","Entomogame"
"Arabidopsis thaliana","Arabidopsis thaliana","Cosmopolite","Blanc","Anémochore","3-7","Racème simple","Autogame"
"Arabis","Arabis hirsuta_Arabis sagittata","Européen tempéré_Holarctique","Blanc","Barochore","5-6","Racème simple","Entomogame"
"Arabis hirsuta","Arabis hirsuta","Holarctique","Blanc","Barochore","5-6","Racème simple","Entomogame"
"Arabis sagittata","Arabis sagittata","Européen tempéré","Blanc","Barochore","","Racème simple","Entomogame"
"Arctium","Arctium lappa_Arctium minus_Arctium tomentosum","Eurasiatique_Européen","Rose","Épizoochore","7-8","Racème de capitules","Entomogame, autogame"
