"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Oenothera biennis","Oenothera biennis","Introduit (amér. du nord)","Jaune","Barochore","","Racème simple","Entomogame, autogame"
"Oenothera glazioviana","Oenothera glazioviana","Européen","Jaune","Barochore","","Racème simple","Entomogame, autogame"
"Olea europaea","Olea europaea","Méditerranéen","Blanc","Endozoochore","","Racème de racèmes","Entomogame"
"Oloptum miliaceum","Oloptum miliaceum","Méditerranéen","Vert, bleu","Anémochore","","Panicule d'épillets","Anémogame"
"Omalotheca sylvatica",NA,NA,NA,NA,NA,NA,NA
"Onobrychis alba",NA,NA,NA,NA,NA,NA,NA
"Onobrychis arenaria","Onobrychis arenaria","Européen oriental","Rose","Épizoochore","","Racème simple","Entomogame"
"Onobrychis caput-galli","Onobrychis caput-galli","Méditerranéen","Rose","Épizoochore","5-7","Racème simple","Entomogame"
"Onobrychis viciifolia","Onobrychis viciifolia","Européen méridional","Rose","Épizoochore","","Racème simple","Entomogame"
"Ononis","Ononis minutissima_Ononis natrix_Ononis reclinata_Ononis rotundifolia_Ononis spinosa_Ononis spinosa subsp. procurrens_Ononis viscosa subsp. viscosa","Européen_Méditerranéen_Méditerranéen occidental_Orophyte méridional","Jaune_Rose","Barochore_Épizoochore","4-9_5-7_5-8","Racème simple","Entomogame"
"Ononis minutissima","Ononis minutissima","Méditerranéen occidental","Jaune","Épizoochore","4-9","Racème simple","Entomogame"
"Ononis natrix","Ononis natrix","Méditerranéen","Jaune","Épizoochore","","Racème simple","Entomogame"
"Ononis reclinata","Ononis reclinata","Méditerranéen","Rose","Épizoochore","5-7","Racème simple","Entomogame"
"Ononis rotundifolia","Ononis rotundifolia","Orophyte méridional","Rose","Épizoochore","5-8","Racème simple","Entomogame"
"Ononis spinosa","Ononis spinosa","Européen","Rose","Barochore","","Racème simple","Entomogame"
"Ononis spinosa procurrens","Ononis spinosa subsp. procurrens","Européen","Rose","Barochore","","Racème simple","Entomogame"
"Ononis spinosa procurrens","Ononis spinosa subsp. procurrens","Européen","Rose","Barochore","","Racème simple","Entomogame"
"Ononis viscosa viscosa","Ononis viscosa subsp. viscosa","Méditerranéen","Jaune","Épizoochore","5-7","Racème simple","Entomogame"
"Onopordum","Onopordum acanthium_Onopordum acaulon_Onopordum illyricum","Eurasiatique septentrional_Méditerranéen_Méditerranéen occidental","Blanc_Rose","Anémochore","","Racème de capitules","Entomogame, autogame"
"Onopordum acanthium","Onopordum acanthium","Eurasiatique septentrional","Rose","Anémochore","","Racème de capitules","Entomogame, autogame"
"Onopordum acaulon","Onopordum acaulon","Méditerranéen occidental","Blanc","Anémochore","","Racème de capitules","Entomogame, autogame"
"Onopordum corymbosum",NA,NA,NA,NA,NA,NA,NA
"Onopordum illyricum","Onopordum illyricum","Méditerranéen","Rose","Anémochore","","Racème de capitules","Entomogame, autogame"
"Onopordum nervosum",NA,NA,NA,NA,NA,NA,NA
"Ophioglossum vulgatum","Ophioglossum vulgatum","Holarctique","","Autochore","5-7","","Hydrogame"
"Ophrys apifera","Ophrys apifera","Européen méridional","Marron","Anémochore","","Épi simple","Autogame"
"Ophrys insectifera","Ophrys insectifera","Européen central","Marron","Anémochore","4-7","Épi simple","Entomogame"
"Ophrys sphegodes sphegodes","Ophrys aranifera_Ophrys aranifera subsp. praecox_Ophrys exaltata","Corso-sarde_Européen méridional_Méditerranéen(eury)","Marron","Anémochore","1-4","Épi simple","Entomogame"
"Orchidaceae",NA,NA,NA,NA,NA,NA,NA
"Orchis",NA,NA,NA,NA,NA,NA,NA
"Origanum","Origanum majorana_Origanum vulgare_Origanum vulgare subsp. vulgare","Eurasiatique_Méditerranéen oriental","Rose","Barochore","7-9","Cyme capituliforme","Entomogame"
"Origanum majorana","Origanum majorana","Méditerranéen oriental","Rose","Barochore","","Cyme capituliforme","Entomogame"
"Origanum vulgare","Origanum vulgare","Eurasiatique","Rose","Barochore","","Cyme capituliforme","Entomogame"
"Origanum vulgare vulgare","Origanum vulgare subsp. vulgare","Eurasiatique","Rose","Barochore","7-9","Cyme capituliforme","Entomogame"
"Orlaya","Orlaya grandiflora","Européen méridional","Blanc","Épizoochore","6-9","Ombelle d'ombellules","Entomogame"
"Orlaya daucoides",NA,NA,NA,NA,NA,NA,NA
"Orlaya grandiflora","Orlaya grandiflora","Européen méridional","Blanc","Épizoochore","6-9","Ombelle d'ombellules","Entomogame"
"Ornithogalum","Ornithogalum umbellatum","Holarctique","Blanc","Barochore","4-6","Corymbe","Entomogame, autogame"
"Ornithogalum boucheanum",NA,NA,NA,NA,NA,NA,NA
"Ornithogalum divergens",NA,NA,NA,NA,NA,NA,NA
"Ornithogalum pyramidale",NA,NA,NA,NA,NA,NA,NA
"Ornithogalum umbellatum","Ornithogalum umbellatum","Holarctique","Blanc","Barochore","4-6","Corymbe","Entomogame, autogame"
"Ornithopus","Ornithopus compressus_Ornithopus perpusillus_Ornithopus sativus","Européen occidental_Méditerranéen_Méditerranéen occidental","Blanc_Jaune_Rose","Épizoochore","4-6","Racème capituliforme","Entomogame_Entomogame, autogame"
"Ornithopus compressus","Ornithopus compressus","Méditerranéen","Jaune","Épizoochore","4-6","Racème capituliforme","Entomogame"
"Ornithopus perpusillus","Ornithopus perpusillus","Européen occidental","Blanc","Épizoochore","","Racème capituliforme","Entomogame, autogame"
"Ornithopus sativus","Ornithopus sativus","Méditerranéen occidental","Rose","Épizoochore","","Racème capituliforme","Entomogame"
"Orobanche","Orobanche amethystea_Orobanche caryophyllacea_Orobanche cernua_Orobanche crenata_Orobanche minor_Orobanche picridis_Phelipanche nana_Phelipanche purpurea_Phelipanche ramosa","Eurasiatique_Européen méridional_Méditerranéen_Méditerranéen(eury)_Subtropical(paléo)","Blanc_Blanc, jaune_Blanc, rose_Bleu_Bleu, blanc","Barochore","4-6_5-6_5-7","Épi simple","Entomogame_Entomogame, autogame"
"Orobanche amethystea","Orobanche amethystea","Méditerranéen(eury)","Blanc","Barochore","","Épi simple","Entomogame"
"Orobanche caryophyllacea","Orobanche caryophyllacea","Eurasiatique","Blanc, rose","Barochore","5-7","Épi simple","Entomogame"
"Orobanche cernua","Orobanche cernua","Subtropical(paléo)","Bleu","Barochore","","Épi simple","Entomogame"
"Orobanche crenata","Orobanche crenata","Méditerranéen","Blanc","Barochore","5-6","Épi simple","Entomogame"
"Orobanche cumana",NA,NA,NA,NA,NA,NA,NA
"Orobanche minor","Orobanche minor","Méditerranéen","Blanc, jaune","Barochore","","Épi simple","Entomogame"
"Orobanche nana","Phelipanche nana","Méditerranéen","Bleu","Barochore","4-6","Épi simple","Entomogame"
"Orobanche picridis",NA,NA,NA,NA,NA,NA,NA
"Orobanche picridis-hieracioidis","Orobanche picridis","Européen méridional","Blanc","Barochore","5-7","Épi simple","Entomogame"
"Orobanche purpurea","Phelipanche purpurea","Eurasiatique","Bleu","Barochore","5-7","Épi simple","Entomogame, autogame"
"Orobanche ramosa","Phelipanche ramosa","Européen méridional","Bleu, blanc","Barochore","","Épi simple","Entomogame"
"Oryza","Oryza sativa","Subtropical(paléo)","Vert","Barochore","7-9","Panicule d'épillets","Anémogame"
"Oryza sativa","Oryza sativa","Subtropical(paléo)","Vert","Barochore","7-9","Panicule d'épillets","Anémogame"
"Osyris alba","Osyris alba","Européen méridional","Jaune","Endozoochore","5-7","Racème de racèmes","Entomogame"
"Oxalis","Oxalis acetosella_Oxalis corniculata_Oxalis dillenii_Oxalis fontana_Oxalis latifolia_Oxalis pes-caprae","Circumboréal_Cosmopolite_Introduit (afrique du sud)_Introduit (amér. du nord)_Introduit (amér. du sud)_Méditerranéen","Blanc_Jaune_Rose","Autochore","4-5_6-10","Cyme multipare_Fleur solitaire terminale","Entomogame_Entomogame, autogame"
"Oxalis acetosella","Oxalis acetosella","Circumboréal","Blanc","Autochore","4-5","Fleur solitaire terminale","Entomogame, autogame"
"Oxalis corniculata","Oxalis corniculata","Méditerranéen","Jaune","Autochore","","Cyme multipare","Entomogame, autogame"
"Oxalis dillenii","Oxalis dillenii","Introduit (amér. du nord)","Jaune","Autochore","","Cyme multipare","Entomogame"
"Oxalis latifolia","Oxalis latifolia","Introduit (amér. du sud)","Rose","Autochore","","Cyme multipare","Entomogame"
"Oxalis pes-caprae","Oxalis pes-caprae","Introduit (afrique du sud)","Jaune","Autochore","","Cyme multipare","Entomogame"
"Oxalis stricta","Oxalis fontana","Cosmopolite","Jaune","Autochore","6-10","Cyme multipare","Entomogame"
"Oxybasis glauca","Oxybasis glauca","Holarctique","Vert","Barochore","7-9","Épi de cymes triflores","Anémogame"
"Oxybasis urbica","Oxybasis urbica","Holarctique","Vert","Barochore","7-9","Épi de cymes triflores","Anémogame"
"Pallenis spinosa","Pallenis spinosa","Méditerranéen(eury)","Jaune","Anémochore","","Capitule simple","Entomogame"
"Pancratium maritimum","Pancratium maritimum","Méditerranéen-atlantique","Blanc","Barochore","7-9","Ombelle simple","Entomogame"
"Panicum","Panicum capillare_Panicum dichotomiflorum_Panicum miliaceum_Panicum virgatum","Introduit (amér. du nord)_Introduit (amér. du sud)_Introduit (asie centr.)","Vert_Vert, bleu","Anémochore_Barochore","","Panicule d'épillets","Anémogame"
"Panicum capillare","Panicum capillare","Introduit (amér. du nord)","Vert, bleu","Anémochore","","Panicule d'épillets","Anémogame"
"Panicum dichotomiflorum","Panicum dichotomiflorum","Introduit (amér. du sud)","","Anémochore","","Panicule d'épillets","Anémogame"
"Panicum hillmanii",NA,NA,NA,NA,NA,NA,NA
"Panicum miliaceum","Panicum miliaceum","Introduit (asie centr.)","Vert","Anémochore","","Panicule d'épillets","Anémogame"
"Panicum virgatum","Panicum virgatum","Introduit (amér. du nord)","","Barochore","","Panicule d'épillets","Anémogame"
"Papaver","Papaver dubium_Papaver dubium subsp. dubium_Papaver rhoeas_Papaver somniferum","Eurasiatique méridional_Européen_Méditerranéen","Blanc, rose_Rose","Anémochore","5-7","Cyme unipare hélicoïde","Entomogame_Entomogame, autogame"
"Papaver dubium","Papaver dubium","Eurasiatique méridional","Rose","Anémochore","","Cyme unipare hélicoïde","Entomogame, autogame"
"Papaver dubium dubium","Papaver dubium subsp. dubium","Eurasiatique méridional","Rose","Anémochore","5-7","Cyme unipare hélicoïde","Entomogame, autogame"
"Papaver rhoeas","Papaver rhoeas","Européen","Rose","Anémochore","","Cyme unipare hélicoïde","Entomogame"
"Papaver rhoeas rhoeas","Papaver rhoeas","Européen","Rose","Anémochore","","Cyme unipare hélicoïde","Entomogame"
"Papaver somniferum","Papaver somniferum","Méditerranéen","Blanc, rose","Anémochore","","Cyme unipare hélicoïde","Entomogame"
"Papaver x strigosum",NA,NA,NA,NA,NA,NA,NA
"Parameconopsis cambrica","Meconopsis cambrica","Atlantique","Jaune","Anémochore","6-8","Cyme unipare hélicoïde","Entomogame"
"Parapholis cylindrica","Hainardia cylindrica","Méditerranéen(eury)","Vert","Barochore","4-6","Panicule d'épillets","Anémogame"
"Pardoglossum cheirifolium","Pardoglossum cheirifolium","Méditerranéen","Bleu, rose","Épizoochore","","Racème de cymes unipares scorpioïdes","Entomogame"
"Parentucellia","Parentucellia latifolia_Parentucellia viscosa","Méditerranéen-atlantique","Jaune_Rose","Épizoochore","3-6_5-9","Racème simple","Entomogame"
"Parentucellia latifolia","Parentucellia latifolia","Méditerranéen-atlantique","Rose","Épizoochore","3-6","Racème simple","Entomogame"
"Parentucellia viscosa","Parentucellia viscosa","Méditerranéen-atlantique","Jaune","Épizoochore","5-9","Racème simple","Entomogame"
"Parietaria judaica","Parietaria judaica","Méditerranéen(eury)-atlantique(eury)","Vert","Épizoochore","6-10","Glomérules","Anémogame"
"Paronychia",NA,NA,NA,NA,NA,NA,NA
"Parthenocissus","Parthenocissus quinquefolia","Introduit (amér. du nord)","Vert","Endozoochore","","Racème de cymes bipares","Anémogame"
"Parthenocissus quinquefolia","Parthenocissus quinquefolia","Introduit (amér. du nord)","Vert","Endozoochore","","Racème de cymes bipares","Anémogame"
"Paspalum","Paspalum dilatatum_Paspalum distichum","Introduit (amér.)_Subtropical","Vert","Barochore_Épizoochore","7-10","Épi d'épillets","Anémogame"
"Paspalum dilatatum","Paspalum dilatatum","Introduit (amér.)","Vert","Barochore","7-10","Épi d'épillets","Anémogame"
"Paspalum distichum","Paspalum distichum","Subtropical","Vert","Épizoochore","7-10","Épi d'épillets","Anémogame"
"Pastinaca","Pastinaca sativa_Pastinaca sativa subsp. sativa_Pastinaca sativa subsp. urens","Eurasiatique septentrional_Méditerranéen(eury)","Jaune","Anémochore","7-8_7-9","Ombelle d'ombellules","Entomogame"
"Pastinaca sativa","Pastinaca sativa","Eurasiatique septentrional","Jaune","Anémochore","","Ombelle d'ombellules","Entomogame"
"Pastinaca sativa sativa","Pastinaca sativa subsp. sativa","Eurasiatique septentrional","Jaune","Anémochore","7-8","Ombelle d'ombellules","Entomogame"
"Pastinaca sativa urens","Pastinaca sativa subsp. urens","Méditerranéen(eury)","Jaune","Anémochore","7-9","Ombelle d'ombellules","Entomogame"
"Pelargonium",NA,NA,NA,NA,NA,NA,NA
"Persicaria","Bistorta officinalis_Persicaria amphibia_Persicaria hydropiper_Persicaria lapathifolia_Persicaria maculosa_Persicaria minor_Persicaria mitis","Cosmopolite_Européen_Holarctique","Blanc, rose_Blanc, vert, rose_Rose_Vert","Barochore_Hydrochore","7-10_7-9","Épi de cymes triflores","Autogame_Entomogame"
"Persicaria acuminata",NA,NA,NA,NA,NA,NA,NA
"Persicaria amphibia","Persicaria amphibia","Cosmopolite","Rose","Hydrochore","","Épi de cymes triflores","Entomogame"
"Persicaria bistorta","Bistorta officinalis","Holarctique","Rose","Barochore","","Épi de cymes triflores","Entomogame"
"Persicaria dubia",NA,NA,NA,NA,NA,NA,NA
"Persicaria hydropiper","Persicaria hydropiper","Holarctique","Blanc, rose","Hydrochore","7-10","Épi de cymes triflores","Autogame"
"Persicaria lapathifolia","Persicaria lapathifolia","Cosmopolite","Blanc, vert, rose","Barochore","","Épi de cymes triflores","Autogame"
"Persicaria lapathifolia lapathifolia","Persicaria lapathifolia","Cosmopolite","Blanc, vert, rose","Barochore","","Épi de cymes triflores","Autogame"
"Persicaria maculosa","Persicaria maculosa","Cosmopolite","Rose","Barochore","7-9","Épi de cymes triflores","Autogame"
"Persicaria minor","Persicaria minor","Cosmopolite","Rose","Barochore","7-10","Épi de cymes triflores","Autogame"
"Persicaria mitis","Persicaria mitis","Européen","Vert","Barochore","7-10","Épi de cymes triflores","Autogame"
"Petasites hybridus","Petasites hybridus","Eurasiatique","Rose","Anémochore","","Épi de capitules","Entomogame"
"Petrorhagia prolifera","Petrorhagia prolifera","Européen","Rose","Anémochore","5-10","Cyme bipare","Entomogame"
"Petrorhagia saxifraga","Petrorhagia saxifraga","Européen méridional","Rose","Anémochore","","Cyme bipare","Entomogame"
"Petrosedum sediforme","Sedum sediforme","Méditerranéen","Jaune","Anémochore","6-8","Cyme multipare","Entomogame"
"Petroselinum","Petroselinum crispum","Européen méridional","Blanc","Barochore","","Ombelle d'ombellules","Entomogame"
"Petroselinum crispum","Petroselinum crispum","Européen méridional","Blanc","Barochore","","Ombelle d'ombellules","Entomogame"
"Peucedanum cervaria","Cervaria rivini","Européen méridional","Blanc","Anémochore","7-10","Ombelle d'ombellules","Entomogame"
"Peucedanum oreoselinum","Oreoselinum nigrum","Européen","Blanc","Anémochore","7-9","Ombelle d'ombellules","Entomogame"
"Peucedanum palustre","Thysselinum palustre","Eurasiatique septentrional","Blanc","Anémochore","7-9","Ombelle d'ombellules","Entomogame"
"Phacelia tanacetifolia","Phacelia tanacetifolia","Introduit (amér. du nord occ.)","Bleu","Barochore","","Cyme unipare scorpioïde","Entomogame"
"Phalaris","Phalaris aquatica_Phalaris arundinacea_Phalaris brachystachys_Phalaris canariensis_Phalaris coerulescens_Phalaris minor_Phalaris paradoxa","Circumboréal_Méditerranéen_Méditerranéen occidental_Méditerranéen(eury)_Subtropical(paléo)","Bleu_Vert","Anémochore_Barochore_Épizoochore_Hydrochore","4-7_5-7_5-9","Épi d'épillets_Panicule d'épillets","Anémogame"
"Phalaris aquatica","Phalaris aquatica","Méditerranéen","Vert","Barochore","5-7","Épi d'épillets","Anémogame"
"Phalaris arundinacea","Phalaris arundinacea","Circumboréal","Bleu","Hydrochore","","Panicule d'épillets","Anémogame"
"Phalaris brachystachys","Phalaris brachystachys","Méditerranéen(eury)","Vert","Épizoochore","4-7","Épi d'épillets","Anémogame"
"Phalaris canariensis","Phalaris canariensis","Méditerranéen occidental","Vert","Épizoochore","5-7","Épi d'épillets","Anémogame"
"Phalaris coerulescens","Phalaris coerulescens","Méditerranéen","Bleu","Épizoochore","4-7","Épi d'épillets","Anémogame"
"Phalaris minor","Phalaris minor","Subtropical(paléo)","Vert","Anémochore","5-9","Épi d'épillets","Anémogame"
"Phalaris paradoxa","Phalaris paradoxa","Méditerranéen","Vert","Anémochore","4-7","Épi d'épillets","Anémogame"
"Phedimus spurius",NA,NA,NA,NA,NA,NA,NA
"Phillyrea latifolia","Phillyrea latifolia","Méditerranéen","Blanc","Endozoochore","4-5","Glomérules","Entomogame"
"Phleum","Phleum arenarium_Phleum exaratum_Phleum hirsutum_Phleum paniculatum_Phleum phleoides_Phleum pratense_Phleum subulatum","Circumboréal_Eurasiatique_Européen méridional_Méditerranéen_Méditerranéen-atlantique_Orophyte alpien","Vert_Vert, bleu","Épizoochore","5-7_7-8","Épi d'épillets","Anémogame"
