"accepted_taxa","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Inflorescence_GIFT","Leaf.area_cm2_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT"
"Medicago scutellata","Medicago scutellata","Anemochorous","","",NA,NA,NA,NA,"",NA,"Annual","C3",0.4,0.61,"","","",0.01508,NA
"Medicago truncatula","Medicago truncatula","Zoochorous","Epizoochorous","Yellow",0.8,0.6,NA,NA,"",NA,"Annual","C3",0.5,NA,"Biotic","Insect","",0.00403095233333333,NA
"Medicago turbinata","Medicago turbinata","","","",NA,NA,NA,NA,"",NA,"Annual","C3",NA,NA,"","","",0.028048333,NA
"Medicago varia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melampyrum","Melampyrum arvense","Zoochorous","","",NA,NA,NA,NA,"",4.5,"Annual","",0.5,0.308,"Biotic","Insect","Bee",0.0140915,293.6
"Melampyrum arvense","Melampyrum arvense","Zoochorous","","",NA,NA,NA,NA,"",4.5,"Annual","",0.5,0.308,"Biotic","Insect","Bee",0.0140915,293.6
"Melia azedarach","Melia azedarach","Zoochorous","","Violet",NA,NA,0.3,0.2,"Panicle",NA,"Perennial","C3",40,12,"","","",0.373185975,NA
"Melica ciliata","Melica ciliata","","","",NA,NA,NA,NA,"",2.0403,"Perennial","C3",0.9,0.36,"Abiotic","Wind","",0.000607833333333333,170.4
"Melica ciliata subsp. ciliata","Melica ciliata_Melica transsilvanica","","","",NA,NA,NA,NA,"",2.0403,"Perennial","C3",1.05,0.36,"Abiotic","Wind","",0.000612416666666666,170.4
"Melica ciliata subsp. transsilvanica","Melica transsilvanica","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",1.2,NA,"Abiotic","Wind","",0.000617,NA
"Melica nutans","Melica nutans","Anemochorous","","",NA,NA,NA,NA,"",4.02,"Perennial","C3",0.9,0.225,"Abiotic","Wind","Wind",0.002477,287.25
"Melica uniflora","Melica uniflora","Zoochorous","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.6,0.325,"Abiotic","Wind","Wind",0.0028556665,396
"Melilotus","Melilotus albus_Melilotus altissimus_Melilotus indicus_Melilotus neapolitanus_Melilotus officinalis_Melilotus sulcatus","Anemochorous_Autochorous_Unspecialized","Autochorous","White_Yellow",0.325,0.225,NA,NA,"Raceme",4.18166666666667,"Annual","C3",1.33333333333333,1.05483333333333,"Biotic","Insect","Bee",0.00249425606944445,188.108333333333
"Melilotus albus","Melilotus albus","Anemochorous","","White",0.4,0.25,NA,NA,"",NA,"","C3",2.5,1.5,"Biotic","Insect","Bee",0.00223369466666667,NA
"Melilotus altissimus","Melilotus altissimus","Autochorous","Autochorous","",NA,NA,NA,NA,"",2.7,"","C3",1.5,0.9,"Biotic","Insect","Bee",0.00395075,156.5
"Melilotus indicus","Melilotus indicus","Unspecialized","","Yellow",0.25,0.2,NA,NA,"",3.82,"Annual","C3",1.2,0.65,"Biotic","Insect","Bee",0.0022503,206
"Melilotus officinalis","Melilotus officinalis","","","",NA,NA,NA,NA,"",6.025,"","C3",2,1.16933333333333,"Biotic","Insect","",0.00244579175,201.825
"Melilotus spicatus","Melilotus neapolitanus","","","",NA,NA,NA,NA,"",NA,"Annual","C3",0.4,NA,"","","",5e-04,NA
"Melilotus sulcatus","Melilotus sulcatus","","","Yellow",NA,NA,NA,NA,"Raceme",NA,"Annual","C3",0.4,NA,"","","",0.003585,NA
"Melissa officinalis","Melissa officinalis","Unspecialized","","",1.2,1,NA,NA,"",NA,"Perennial","C3",1.25,0.525,"Biotic","Insect","Insect",0.00068825,NA
"Melissa officinalis subsp. altissima","Melissa officinalis","Unspecialized","","",1.2,1,NA,NA,"",NA,"Perennial","C3",1.25,0.525,"Biotic","Insect","Insect",0.00068825,NA
"Melissa officinalis subsp. officinalis","Melissa officinalis","Unspecialized","","",1.2,1,NA,NA,"",NA,"Perennial","C3",1.25,0.525,"Biotic","Insect","Insect",0.00068825,NA
"Melittis melissophyllum","Melittis melissophyllum","Zoochorous","","",NA,NA,NA,NA,"",25.8675,"Perennial","C3",0.8,0.275,"Biotic","Insect","",0.00539,535
"Melomphis arabica","Ornithogalum arabicum","Unspecialized","Anthropochorous","White",2.5,2,NA,NA,"",NA,"Perennial","",0.8,NA,"Biotic","Insect","",0.0015,NA
"Mentha","Mentha × piperita_Mentha × villosa_Mentha aquatica_Mentha arvensis_Mentha longifolia_Mentha pulegium_Mentha spicata_Mentha suaveolens","Hydrochorous","Hydrochorous","Violet",0.466666666666667,0.35,NA,NA,"",11.405515,"Perennial","C3",1.07142857142857,0.488,"Biotic","Insect","Bee_Insect",8.66908571428571e-05,302.433333333333
"Mentha aquatica","Mentha aquatica","Hydrochorous","Hydrochorous","",NA,NA,NA,NA,"",17.22438,"Perennial","C3",1,0.383,"Biotic","Insect","Insect",0.000116583333333333,299.64
"Mentha arvensis","Mentha arvensis","Hydrochorous","Hydrochorous","",NA,NA,NA,NA,"",6.04251,"Perennial","C3",1,0.52,"Biotic","Insect","",0.000169611,418.31
"Mentha longifolia","Mentha longifolia","Hydrochorous","Hydrochorous","Violet",0.4,0.3,NA,NA,"",17.77,"Perennial","C3",1.8,0.725,"Biotic","Insect","Insect",6.5075e-05,286.35
"Mentha pulegium","Mentha pulegium","","","",0.6,0.5,NA,NA,"",1.9827,"Perennial","C3",0.7,0.175,"Biotic","Insect","Bee",8.35666666666667e-05,311.3
"Mentha spicata","Mentha spicata","","","",0.4,0.25,NA,NA,"",10.576,"Perennial","C3",1,0.5375,"Biotic","Insect","Bee",4e-05,225
"Mentha suaveolens","Mentha suaveolens","Hydrochorous","","",NA,NA,NA,NA,"",14.8375,"Perennial","C3",1,0.5875,"Biotic","Insect","Bee",4.2e-05,274
"Mentha x piperita","Mentha × piperita","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",1,NA,"","","",9e-05,NA
"Mentha x villosa","Mentha × villosa","","","",NA,NA,NA,NA,"",NA,"","C3",NA,NA,"","","",NA,NA
"Mercurialis","Mercurialis annua_Mercurialis perennis","","","",NA,NA,NA,NA,"",13.251775,"Annual_Perennial","C3",0.5,0.246,"Abiotic","Wind","",0.00387358325,370.765
"Mercurialis annua","Mercurialis annua","","","",NA,NA,NA,NA,"",7.59855,"Annual","C3",0.6,0.275,"Abiotic","Wind","",0.001943,484.7
"Mercurialis perennis","Mercurialis perennis","","","",NA,NA,NA,NA,"",18.905,"Perennial","C3",0.4,0.217,"","","",0.0058041665,256.83
"Meum athamanticum","Meum athamanticum","Zoochorous","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.5,0.235,"Biotic","Insect","",0.00731225,131.8
"Mibora minima","Mibora minima","Zoochorous","Zoochorous","",NA,NA,NA,NA,"",NA,"","C3",0.15,0.035,"Abiotic","Wind","Wind",0.0001113125,NA
"Micromeria graeca","Micromeria graeca","","","",NA,NA,NA,NA,"",NA,"Perennial","",NA,NA,"","","",0.00014,NA
"Micropyrum tenellum","Festuca lachenalii","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"",NA,"Annual","C3",0.5,0.16,"","","",0.0006405,NA
"Microthlaspi perfoliatum","Noccaea perfoliata_Thlaspi rotundifolium","Hydrochorous","","",NA,NA,NA,NA,"",NA,"Annual","C3",0.35,0.092,"Biotic","Insect","Insect",0.00113745825,NA
"Milium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minuartia","Minuartia montana","","","",NA,NA,NA,NA,"",NA,"Annual","",0.07,NA,"","","",1e-04,NA
"Minuartia montana subsp. wiesneri","Minuartia montana","","","",NA,NA,NA,NA,"",NA,"Annual","",0.07,NA,"","","",1e-04,NA
"Miscanthus sinensis","Miscanthus sinensis","Anemochorous","","",NA,NA,NA,NA,"",NA,"Perennial","",3,1.5,"Abiotic","Wind","",0.000853,NA
"Misopates orontium","Misopates orontium","Anemochorous","","Pink",1.7,0.9,NA,NA,"",2.02625,"Annual","C3",0.75,0.343,"Biotic","Insect","Bee",0.000138,308.55
"Moehringia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Molinia caerulea","Molinia caerulea","Anemochorous","","",NA,NA,NA,NA,"",12.86625,"Perennial","C3",1.2,0.788,"Abiotic","Wind","Wind",0.000742666666666667,196.37
"Montia fontana","Montia fontana","Autochorous","","",NA,NA,NA,NA,"",0.10845,"Annual","C3",0.5,0.147666666666667,"","Other","",0.000244066666666667,447.1
"Montia fontana subsp. minor","Montia fontana","Autochorous","","",NA,NA,NA,NA,"",0.10845,"Annual","C3",0.5,0.147666666666667,"","Other","",0.000244066666666667,447.1
"Moorochloa eruciformis","Moorochloa eruciformis","","","",NA,NA,NA,NA,"",NA,"Annual","C4",1,NA,"","","",0.00016,NA
"Morus","Morus alba_Morus nigra","Zoochorous","","",NA,NA,NA,NA,"Spike",NA,"Perennial","C3",15,11.1666666666667,"","","",0.0036105555,NA
"Morus alba","Morus alba","Zoochorous","","",NA,NA,NA,NA,"Spike",NA,"Perennial","C3",15,13,"","","",0.004701111,NA
"Morus nigra","Morus nigra","Zoochorous","","",NA,NA,NA,NA,"",NA,"Perennial","C3",15,9.33333333333333,"","","",0.00252,NA
"Muhlenbergia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muscari","Muscari botryoides_Muscari comosum_Muscari neglectum_Muscari racemosum","Hydrochorous","","",0.9,0.6,0.6,0.4,"Raceme",15.33,"Perennial","C3",0.5,0.23,"Biotic","Insect","Insect",0.00458277777777778,288.2
"Muscari botryoides","Muscari botryoides","","","",NA,NA,NA,NA,"",15.33,"Perennial","C3",0.3,0.15,"Biotic","Insect","Insect",0.00269,288.2
"Muscari comosum","Muscari comosum","Hydrochorous","","",0.9,0.6,0.6,0.4,"Raceme",NA,"Perennial","C3",0.9,0.425,"Biotic","Insect","",0.00579,NA
"Muscari motelayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muscari neglectum","Muscari neglectum","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.3,0.115,"Biotic","Insect","",0.00526833333333333,NA
"Muscari racemosum","Muscari racemosum","","","",NA,NA,NA,NA,"",NA,"","C3",NA,NA,"","","",NA,NA
"Myagrum perfoliatum","Myagrum perfoliatum","","","",NA,NA,NA,NA,"",12.115,"Annual","C3",1,0.24,"","","",0.0153425,292
"Myosotis","Myosotis arvensis_Myosotis discolor_Myosotis minutiflora_Myosotis ramosissima_Myosotis scorpioides_Myosotis stricta_Myosotis sylvatica","Hydrochorous_Zoochorous","","",NA,NA,0.3,0.15,"",4.60086666666667,"Annual_Perennial","C3",0.483333333333333,0.20975,"Biotic","Insect","Insect",0.000424368027777778,304.426666666667
"Myosotis arvensis","Myosotis arvensis","Zoochorous","","",NA,NA,NA,NA,"",7.595,"Annual","C3",0.6,0.265,"Biotic","Insect","",0.000422708333333333,293.8
"Myosotis corsicana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosotis discolor","Myosotis discolor","","","",NA,NA,0.4,0.2,"",0.79375,"Annual","C3",0.3,0.204,"Biotic","Insect","",0.00019525,255.55
"Myosotis minutiflora","Myosotis minutiflora","","","",NA,NA,NA,NA,"",NA,"Annual","",NA,NA,"","","",NA,NA
"Myosotis ramosissima","Myosotis ramosissima","","","",NA,NA,0.2,0.1,"",1.87,"Annual","C3",0.4,0.102,"Biotic","Insect","Insect",0.0002344165,265.63
"Myosotis scorpioides","Myosotis scorpioides","Hydrochorous","","",NA,NA,NA,NA,"",10.86062,"Perennial","C3",0.7,0.369,"Biotic","Insect","",0.000875666666666667,430.63
"Myosotis stricta","Myosotis stricta","","","",NA,NA,NA,NA,"",0.3525,"Annual","C3",0.3,0.06,"Biotic","Insect","Insect",0.000223666666666667,269.7
"Myosotis sylvatica","Myosotis sylvatica","","","",NA,NA,NA,NA,"",6.13333,"Perennial","C3",0.6,0.2585,"Biotic","Insect","Insect",0.0005945,311.25
"Myosurus minimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myrrhis odorata","Myrrhis odorata","","","",NA,NA,NA,NA,"",1425.26,"Perennial","C3",1.2,0.883,"Biotic","Insect","",0.0385004165,392.25
"Nardus stricta","Nardus stricta","","","",NA,NA,NA,NA,"",0.9491,"Perennial","C3",0.4,0.17,"Abiotic","Wind","Wind",0.000378333333333333,103.94
"Nasturtium officinale","Nasturtium officinale","","","White",0.45,0.34,NA,NA,"",14.35,"Perennial","C3",1,0.385,"Biotic","Insect","",0.0002684166,422.25
"Nelumbo nucifera","Nelumbo nucifera","","","",20,10,NA,NA,"",NA,"Perennial","C3",NA,1,"Biotic","Insect","",NA,NA
"Neottia ovata","Neottia ovata","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",37.20667,"Perennial","C3",0.6,0.14,"Biotic","Insect","",NA,280.3
"Nepeta cataria","Nepeta cataria","Unspecialized","","",NA,NA,NA,NA,"",3.905,"Perennial","C3",1.5,0.567,"Biotic","Insect","Bee",0.000565,309
"Nepeta nepetella","Nepeta nepetella","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",NA,NA,"","","",4e-04,NA
"Neslia paniculata","Neslia paniculata","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"",NA,"Annual","C3",0.85,0.425,"","","",0.00278477766666667,NA
"Neslia paniculata subsp. thracica","Neslia paniculata","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"",NA,"Annual","C3",0.85,0.425,"","","",0.00278477766666667,NA
"Nicandra physalodes","Nicandra physalodes","Zoochorous","","Blue",3.8,1.05,NA,NA,"",88.81875,"Annual","C3",2,0.71875,"Biotic","Insect","Bee",0.00087,256.15
"Nigella arvensis","Nigella arvensis","","","",NA,NA,NA,NA,"",1.8854,"Annual","C3",0.45,0.23,"Biotic","Insect","Bee",0.002,266.3
"Nigella damascena","Nigella damascena","Unspecialized","","",NA,NA,3,1.5,"",23.61,"Annual","C3",0.75,0.369,"Biotic","Insect","Bee",0.00216190466666667,297.4
"Nigella hispanica","Nigella hispanica","","","",NA,NA,NA,NA,"",NA,"","C3",NA,NA,"","","",0.0026,NA
"Nigella hispanica var. hispanica","Nigella hispanica","","","",NA,NA,NA,NA,"",NA,"","C3",NA,NA,"","","",0.0026,NA
"Nigella hispanica var. intermedia","Nigella hispanica","","","",NA,NA,NA,NA,"",NA,"","C3",NA,NA,"","","",0.0026,NA
"Nigella nigellastrum","Nigella nigellastrum","","","",NA,NA,NA,NA,"",NA,"Annual","C3",NA,NA,"","","",NA,NA
"Nitrosalsola vermiculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noccaea caerulescens","Noccaea caerulescens","","","",NA,NA,NA,NA,"",1.14,"Perennial","C3",0.3,0.232,"Biotic","Insect","",0.000379,303
"Nonea lutea","Nonea lutea","","","",NA,NA,NA,NA,"",NA,"Annual","C3",0.6,NA,"","","",NA,NA
"Nonea pallens","Nonea pallens","","","",NA,NA,NA,NA,"",NA,"Annual","",0.4,NA,"","","",NA,NA
"Nonea pulla","Nonea pulla","Zoochorous","","",NA,NA,NA,NA,"",16.03,"Perennial","C3",0.5,0.325,"Biotic","Insect","",NA,229.7
"Odontites","Odontites luteus_Odontites vernus_Odontites vulgaris","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",NA,"Annual","",0.7,NA,"Biotic","Insect","Bee",0.00018,NA
"Odontites jaubertianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontites luteus subsp. lanceolatus","Odontites luteus","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",NA,"Annual","",0.4,NA,"Biotic","Insect","",NA,NA
"Odontites vernus","Odontites vernus","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",NA,"Annual","",0.85,NA,"Biotic","Insect","Bee",0.00018,NA
"Odontites vernus subsp. serotinus","Odontites vulgaris","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",NA,"Annual","",0.85,NA,"Biotic","Insect","",NA,NA
"Odontites vernus subsp. vernus","Odontites vernus_Odontites vulgaris","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",NA,"Annual","",0.85,NA,"Biotic","Insect","Bee",0.00018,NA
"Odontites vulgaris subsp. vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oenanthe crocata","Oenanthe crocata","Hydrochorous","Hydrochorous","",NA,NA,NA,NA,"",153.17,"Perennial","C3",1.5,0.75,"Biotic","Insect","Insect",0.003456,416
"Oenanthe fistulosa","Oenanthe fistulosa","Autochorous","Autochorous","",NA,NA,NA,NA,"",4.20155,"Perennial","C3",1,0.425,"Biotic","Insect","",0.005406,366.33
"Oenanthe lachenalii","Oenanthe lachenalii","","","",NA,NA,NA,NA,"",11.8092,"Perennial","C3",0.8,1,"Biotic","Insect","Insect",0.0013225,146.2
"Oenanthe pimpinelloides","Oenanthe pimpinelloides","Unspecialized","Unspecialized","",NA,NA,NA,NA,"",NA,"Perennial","C3",1,0.5375,"Biotic","Insect","Insect",0.0020431665,NA
"Oenothera","Oenothera biennis_Oenothera glazioviana","Anemochorous_Unspecialized","","Yellow",4,3,NA,NA,"",99.23625,"Biennial","C3",1.9,0.97275,"Biotic","Insect","",0.000499314025,198.755
"Oenothera biennis","Oenothera biennis","Anemochorous","","Yellow",3,2,NA,NA,"",142,"Biennial","C3",2,1.079,"Biotic","Insect","",0.00050984225,157.01
"Oenothera glazioviana","Oenothera glazioviana","Unspecialized","","Yellow",5,4,NA,NA,"",56.4725,"Biennial","C3",1.8,0.8665,"Biotic","Insect","",0.0004887858,240.5
"Olea europaea","Olea europaea","Zoochorous","Zoochorous","White",NA,NA,0.8,0.5,"Panicle",NA,"Perennial","C3",15,7.66666666666667,"Biotic","Insect","",0.183169,50.0498925075
"Oloptum miliaceum","Oloptum miliaceum","","","",0.26,0.15,NA,NA,"Panicle",NA,"Perennial","C3",1.5,0.13,"Abiotic","Wind","",0.000602777666666667,NA
"Omalotheca sylvatica","Omalotheca sylvatica","Hydrochorous","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.8,0.325,"Biotic","Insect","Insect",4.18666666666667e-05,239.1
"Onobrychis alba","Onobrychis alba","","","",NA,NA,NA,NA,"",NA,"","C3",NA,NA,"","","",NA,NA
"Onobrychis arenaria","Onobrychis arenaria","Zoochorous","","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.9,0.15,"Biotic","Insect","",0.011435,89.21
"Onobrychis caput-galli","Onobrychis caput-galli","","","",NA,NA,NA,NA,"",NA,"Annual","C3",0.4,NA,"","","",NA,NA
"Onobrychis viciifolia","Onobrychis viciifolia","Zoochorous","","",NA,NA,NA,NA,"",31.34438,"Perennial","C3",0.8,0.5175,"Biotic","Insect","Bee",0.0155971515,185.86
"Ononis","Ononis minutissima_Ononis natrix_Ononis reclinata_Ononis rotundifolia_Ononis spinosa_Ononis viscosa","Autochorous_Zoochorous","Autochorous_Zoochorous","",1.1,0.875,NA,NA,"",0.97332,"Annual_Perennial","C3",0.57,0.250555555555556,"Biotic","Insect","Bee",0.00333159895833333,258.1
"Ononis minutissima","Ononis minutissima","","","",NA,NA,NA,NA,"",NA,"Perennial","C3",NA,NA,"","","",NA,NA
"Ononis natrix","Ononis natrix","","","",1.2,1,NA,NA,"",NA,"Perennial","C3",0.5,0.35,"","","",0.003233,NA
"Ononis reclinata","Ononis reclinata","Zoochorous","Zoochorous","",1,0.75,NA,NA,"",NA,"Annual","C3",0.25,0.035,"","","",0.0007365,NA
"Ononis rotundifolia","Ononis rotundifolia","Autochorous","Autochorous","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.5,NA,"","","",NA,NA
"Ononis spinosa","Ononis spinosa","","","",NA,NA,NA,NA,"",0.97332,"Perennial","C3",0.8,0.366666666666667,"Biotic","Insect","Bee",0.00481689583333333,258.1
"Ononis spinosa subsp. procurrens","Ononis spinosa","","","",NA,NA,NA,NA,"",0.97332,"Perennial","C3",0.8,0.366666666666667,"Biotic","Insect","Bee",0.00481689583333333,258.1
"Ononis viscosa subsp. viscosa","Ononis viscosa","","","",NA,NA,NA,NA,"",NA,"Annual","C3",0.8,NA,"","","",0.00454,NA
"Onopordum","Onopordum acanthium_Onopordum acaulon_Onopordum illyricum_Onopordum nervosum","Anemochorous","","",NA,NA,NA,NA,"",49.285,"Biennial","C3",2.125,1.51,"Biotic","Insect","Bee",0.011529,142.5
"Onopordum acanthium","Onopordum acanthium","Anemochorous","","",NA,NA,NA,NA,"",49.285,"Biennial","C3",3,1.51,"Biotic","Insect","Bee",0.010062,142.5
"Onopordum acaulon","Onopordum acaulon","","","",NA,NA,NA,NA,"",NA,"Biennial","",1,NA,"","","",NA,NA
"Onopordum corymbosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum gautieri","Onopordum nervosum","","","",NA,NA,NA,NA,"",NA,"Biennial","",2.5,NA,"","","",NA,NA
"Onopordum illyricum","Onopordum illyricum","Anemochorous","","",NA,NA,NA,NA,"",NA,"Biennial","",2,NA,"","","",0.012996,NA
"Ophioglossum vulgatum","Ophioglossum vulgatum","","","",NA,NA,NA,NA,"",14.87,"Perennial","C3",0.3,0.125,"Abiotic","Wind","Wind",NA,247.5
"Ophrys apifera","Ophrys apifera","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",6.125,"Perennial","C3",0.5,0.15,"Biotic","Insect","Insect",NA,196.67
"Ophrys apifera x Ophrys bertolonii","Ophrys apifera","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",6.125,"Perennial","C3",0.5,0.15,"Biotic","Insect","Insect",NA,196.67
"Ophrys exaltata","Ophrys sphegodes","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",7.7175,"Perennial","C3",0.58,0.135,"Biotic","Insect","Bee",NA,308
"Ophrys insectifera","Ophrys insectifera","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",3.25,"Perennial","C3",0.5,0.2,"Biotic","Insect","",NA,281
"Orchidaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oreoselinum nigrum","Peucedanum oreoselinum","Anemochorous","","",NA,NA,NA,NA,"",40.28125,"Perennial","C3",1,0.5,"Biotic","Insect","",0.0039685,162.7
"Origanum","Origanum majorana_Origanum vulgare","Unspecialized","Anthropochorous","Pink",1,0.4,NA,NA,"",5.11,"Perennial","C3",6.75,0.4145,"Biotic","Insect","Insect",0.000349983333333333,246.73
"Origanum majorana","Origanum majorana","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"",NA,"","C3",0.5,0.325,"Biotic","Insect","Insect",0.0006025,NA
"Origanum vulgare","Origanum vulgare","","","Pink",1,0.4,NA,NA,"",5.11,"Perennial","C3",13,0.504,"Biotic","Insect","",9.74666666666667e-05,246.73
"Origanum vulgare subsp. vulgare","Origanum vulgare","","","Pink",1,0.4,NA,NA,"",5.11,"Perennial","C3",13,0.504,"Biotic","Insect","",9.74666666666667e-05,246.73
"Orlaya","Orlaya grandiflora","Zoochorous","","",NA,NA,NA,NA,"",16.18,"Annual","C3",0.5,0.283,"Biotic","Insect","Fly",0.0105115,224.6
"Orlaya grandiflora","Orlaya grandiflora","Zoochorous","","",NA,NA,NA,NA,"",16.18,"Annual","C3",0.5,0.283,"Biotic","Insect","Fly",0.0105115,224.6
"Orlaya platycarpos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ornithogalum","Ornithogalum boucheanum_Ornithogalum collinum_Ornithogalum divergens_Ornithogalum tenuifolium_Ornithogalum umbellatum","Zoochorous","Zoochorous","",NA,NA,NA,NA,"",7.25,"Perennial","C3",0.6025,0.2125,"Biotic","Insect","Insect",0.00066,132
"Ornithogalum divergens","Ornithogalum divergens","Zoochorous","Zoochorous","",NA,NA,NA,NA,"",NA,"Perennial","",0.3,NA,"","","",NA,NA
"Ornithogalum kochii subsp. monticola","Ornithogalum boucheanum_Ornithogalum collinum_Ornithogalum tenuifolium","Zoochorous","Zoochorous","",NA,NA,NA,NA,"",NA,"Perennial","C3",0.855,0.225,"Biotic","Insect","",0.00066,NA
"Ornithogalum umbellatum","Ornithogalum umbellatum","","","",NA,NA,NA,NA,"",7.25,"Perennial","C3",0.4,0.2,"Biotic","Insect","Insect",NA,132
"Ornithopus","Ornithopus compressus_Ornithopus perpusillus_Ornithopus sativus","Unspecialized_Zoochorous","Anthropochorous","Pink_Yellow",NA,NA,NA,NA,"",2.36,"Annual","C3",0.55,0.3325,"Biotic","Insect","Bee",0.00238344444444444,257.5
"Ornithopus compressus","Ornithopus compressus","Unspecialized","Anthropochorous","Yellow",NA,NA,NA,NA,"",NA,"Annual","C3",0.6,NA,"Biotic","Insect","",0.00302866666666667,NA
"Ornithopus perpusillus","Ornithopus perpusillus","Zoochorous","","Pink",NA,NA,NA,NA,"",2.36,"Annual","C3",0.45,0.215,"Biotic","Insect","",0.000933333333333333,257.5
"Ornithopus sativus","Ornithopus sativus","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"",NA,"Annual","C3",0.6,0.45,"Biotic","Insect","Bee",0.00318833333333333,NA
"Orobanche","Orobanche amethystea_Orobanche caryophyllacea_Orobanche cernua_Orobanche crenata_Orobanche minor_Orobanche picridis","Anemochorous_Autochorous","Anemochorous_Autochorous","",2.1,1.3,NA,NA,"",NA,"Annual","C3",0.65,0.2565,"Biotic","Insect","Bee",8.5e-06,NA
"Orobanche amethystea","Orobanche amethystea","Autochorous","Autochorous","",NA,NA,NA,NA,"",NA,"","",NA,NA,"","","",NA,NA
"Orobanche caryophyllacea","Orobanche caryophyllacea","Anemochorous","Anemochorous","",NA,NA,NA,NA,"",NA,"","",0.7,0.213,"Biotic","Insect","Bee",8e-06,NA
"Orobanche cernua","Orobanche cernua","","","",1.5,1.2,NA,NA,"",NA,"","",0.45,NA,"","","",1e-05,NA
"Orobanche crenata","Orobanche crenata","","","",3,1.5,NA,NA,"",NA,"Annual","C3",0.8,NA,"Biotic","Insect","",1e-05,NA
"Orobanche minor","Orobanche minor","Anemochorous","","",1.8,1.2,NA,NA,"",NA,"Annual","",0.6,0.3,"Biotic","Insect","Bee",1.15e-05,NA
"Orobanche picridis-hieracioidis","Orobanche picridis","Anemochorous","","",NA,NA,NA,NA,"",NA,"","",0.7,NA,"Biotic","Insect","Bee",3e-06,NA
"Oryza","Oryza sativa","","","",NA,NA,NA,NA,"Panicle",NA,"Annual","C3",1.5,1.8,"","","",0.027514286,NA
"Oryza sativa","Oryza sativa","","","",NA,NA,NA,NA,"Panicle",NA,"Annual","C3",1.5,1.8,"","","",0.027514286,NA
