original_taxa,accepted_wfo,wfo_taxonID,wfo_rank,wfo_authorship,wfo_family,wfo_genus,wfo_status,wfo_match,verified
Taraxacum fhwigg,Taraxacum,wfo-4000037583,genus,F.H.Wigg.,Asteraceae,Taraxacum,Accepted,FUZZY,0
Thlapsi arvense,Thlaspi arvense,wfo-0000410873,species,L.,Brassicaceae,Thlaspi,Accepted,FUZZY,1
Trifolium campestris,Trifolium campestre,wfo-0000212979,species,Schreb.,Fabaceae,Trifolium,Accepted,FUZZY,1
Trifolium vesiculosum,Trifolium vessiculosum,wfo-0000214014,species,Savi,Fabaceae,Trifolium,Accepted,FUZZY,0
Tyrmnus leucographus,Tyrimnus leucographus,wfo-0000000838,species,Cass.,Asteraceae,Tyrimnus,Accepted,FUZZY,0
Urtica dioïca,Urtica dioica,wfo-0000416616,species,L.,Urticaceae,Urtica,Accepted,FUZZY,1
Vaccaria hispanica hispanica,Gypsophila vaccaria,wfo-0000713816,species,(L.) Sm.,Caryophyllaceae,Gypsophila,Accepted,FUZZY,0
Valerianella coronata pumila,Valeriana pumila,wfo-0000426998,species,(L.) Willd.,Caprifoliaceae,Valeriana,Accepted,FUZZY,0
Valerianella dentata rimosa,Valeriana rimosa,wfo-0001423348,species,(Bastard) Christenh. & Byng,Caprifoliaceae,Valeriana,Accepted,FUZZY,0
Valerianella locusta carinata,Valeriana carinata,wfo-0001423367,species,(Loisel.) Christenh. & Byng,Caprifoliaceae,Valeriana,Accepted,FUZZY,0
Veronica anagallis acuatica,Veronica anagallis-aquatica,wfo-0000419633,species,L.,Plantaginaceae,Veronica,Accepted,FUZZY,0
Vicia fabia,Vicia faba,wfo-0000212739,species,L.,Fabaceae,Vicia,Accepted,FUZZY,1
Viola kaitaibeliana,Viola kitaibeliana,wfo-0000424301,species,Schult.,Violaceae,Viola,Accepted,FUZZY,1
Vulpia myuros longiaristata,Festuca myuros,wfo-0000871095,species,L.,Poaceae,Festuca,Accepted,FUZZY,0
Vulpia myuros myuros,Festuca myuros,wfo-0000871095,species,L.,Poaceae,Festuca,Accepted,FUZZY,0
Vulpia myuros sciuroides,Festuca myuros,wfo-0000871095,species,L.,Poaceae,Festuca,Accepted,FUZZY,0
x Hesperotropsis leylandii,× Hesperotropsis × leylandii,wfo-0001333418,species,(A.B.Jacks. & Dallim.) Garland & Gerry Moore,Cupressaceae,Hesperotropsis,Accepted,FUZZY,0
Xanthium echinatum italicum,Xanthium strumarium,wfo-0000082132,species,L.,Asteraceae,Xanthium,Accepted,FUZZY,0
Xanthium orientale orientale,Xanthium strumarium subsp. strumarium,wfo-0000046646,subspecies,,Asteraceae,Xanthium,Accepted,FUZZY,0
