"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Euphorbia falcata","Euphorbia falcata l.","Enclosed",1.46,0.812,"Seed","Explosive release mechanism",0.32,0.26,NA
"Euphorbia flavicoma",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia helioscopia","Euphorbia helioscopia l.","Enclosed",NA,2,"Seed","Explosive release mechanism",0.11,0.17,NA
"Euphorbia humifusa","Euphorbia humifusa willd.","Enclosed",0.7,NA,"Seed","Explosive release mechanism",0.38,0.29,NA
"Euphorbia lathyris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia maculata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia nicaeensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia peplis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia peplus","Euphorbia peplus l.","Enclosed",NA,0.5,"Seed","Explosive release mechanism",0.28,0.3,NA
"Euphorbia platyphyllos","Euphorbia platyphyllos ssp. platyphyllos","Enclosed",NA,NA,"Seed","Explosive release mechanism",NA,NA,NA
"Euphorbia prostrata","Euphorbia prostrata aiton","Enclosed",NA,NA,"Seed","Explosive release mechanism",NA,NA,NA
"Euphorbia saratoi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia serrata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia stricta","Euphorbia serrulata thuill.","Enclosed",1,2.9224,"Seed","Explosive release mechanism",0.13,0.14,NA
"Euphorbia sulcata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia taurinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia terracina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia verrucosa","Euphorbia verrucosa l.","Enclosed",NA,2.635,"Seed","Explosive release mechanism",0.29,0.19,NA
"Euphrasia","Euphrasia nemorosa (pers.) wallr._Euphrasia officinalis s.l.","Enclosed",NA,0.186063,"Seed","Fruit with lateral aperture",0.6,NA,NA
"Euphrasia nemorosa","Euphrasia nemorosa (pers.) wallr.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Euphrasia officinalis","Euphrasia officinalis s.l.","Enclosed",NA,0.186063,"Seed","Fruit with lateral aperture",0.6,NA,NA
"Fabaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagopyrum esculentum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagopyrum tataricum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagus","Fagus sylvatica l.","Exposed",8.7,251.775,"Fruit","Non-fleshy fruit",0.02,0.02,NA
"Fagus sylvatica","Fagus sylvatica l.","Exposed",8.7,251.775,"Fruit","Non-fleshy fruit",0.02,0.02,NA
"Falcaria vulgaris","Falcaria vulgaris bernh.","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",0.25,0.67,NA
"Fallopia","Fallopia convolvulus (l.) a. love_Fallopia dumetorum (l.) holub","Exposed",NA,4.65,"Fruit","Non-fleshy fruit",0.2,0.09,0.285
"Fallopia baldschuanica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fallopia convolvulus","Fallopia convolvulus (l.) a. love","Exposed",NA,5,"Fruit","Non-fleshy fruit",0.25,0.08,0.39
"Fallopia dumetorum","Fallopia dumetorum (l.) holub","Exposed",NA,4.3,"Fruit","Non-fleshy fruit",0.15,0.1,0.18
"Fatsia japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca","Festuca amethystina l._Festuca ovina agg._Festuca ovina l. s.str._Festuca rubra agg._Festuca rupicola heuff._Festuca valesiaca schleich. ex gaudin","Covered partly",0.6075,0.66945425,"Fruit","Non-fleshy fruit",0.621666666666667,0.72,0.4275
"Festuca amethystina","Festuca amethystina l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.58,NA,NA
"Festuca cinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca lemanii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca ovina","Festuca ovina agg._Festuca ovina l. s.str.","Covered partly",0.575,0.59405,"Fruit","Non-fleshy fruit",0.6,0.75,0.43
"Festuca rubra","Festuca rubra agg.","Covered partly",0.69,1.1471,"Fruit","Non-fleshy fruit",0.53,0.63,0.34
"Festuca rupicola","Festuca rupicola heuff.","Covered partly",0.59,0.4,"Fruit","Non-fleshy fruit",0.69,0.77,0.47
"Festuca valesiaca","Festuca valesiaca schleich. ex gaudin","Covered partly",NA,0.536667,"Fruit","Non-fleshy fruit",0.73,0.73,0.47
"Ficaria ambigua",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficaria grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficaria verna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus carica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filago","Filago arvensis l._Filago lutescens jord._Filago pyramidata l._Filago vulgaris agg._Filago vulgaris lam.","Exposed",0.3,0.030075,"Fruit","Non-fleshy fruit",0.842,0.8875,NA
"Filago arvensis","Filago arvensis l.","Exposed",0.3,0.015,"Fruit","Non-fleshy fruit",0.87,0.8,NA
"Filago eriocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filago germanica","Filago vulgaris agg._Filago vulgaris lam.","Exposed",0.3,0.02755,"Fruit","Non-fleshy fruit",0.83,0.94,NA
"Filago lutescens","Filago lutescens jord.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.84,NA,NA
"Filago pyramidata","Filago pyramidata l.","Exposed",0.3,0.0502,"Fruit","Non-fleshy fruit",0.84,0.87,NA
"Filipendula ulmaria","Filipendula ulmaria (l.) maxim.","Exposed",NA,0.503333,"Fruit segment","Non-fleshy fruit",0.75,0.87,0.61
"Filipendula vulgaris","Filipendula vulgaris moench","Exposed",NA,0.671143,"Fruit segment","Non-fleshy fruit",0.7,0.92,0.7
"Foeniculum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fragaria","Fragaria vesca l.","Exposed",NA,500,"Fruit","Fleshy fruit",NA,NA,NA
"Fragaria vesca","Fragaria vesca l.","Exposed",NA,500,"Fruit","Fleshy fruit",NA,NA,NA
"Fragaria x ananassa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus","Fraxinus excelsior l._Fraxinus ornus l.","Exposed",1.5,57.665,"Fruit","Non-fleshy fruit",0.7,0.01,0.17
"Fraxinus angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus excelsior","Fraxinus excelsior l.","Exposed",NA,65.33,"Fruit","Non-fleshy fruit",0.7,0.01,0.17
"Fraxinus ornus","Fraxinus ornus l.","Exposed",1.5,50,"Fruit","Non-fleshy fruit",NA,0.01,NA
"Fumana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumana ericifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria","Fumaria capreolata l._Fumaria muralis sond. ex w. d. j. koch_Fumaria officinalis l. s.l._Fumaria parviflora agg._Fumaria schleicheri soy.-will.","Exposed",1.5,3.2,"Fruit","Non-fleshy fruit",0.125,0.476666666666667,NA
"Fumaria agraria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria bastardii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria capreolata","Fumaria capreolata l.","Exposed",1.5,NA,"Fruit","Non-fleshy fruit",0.14,0.41,NA
"Fumaria densiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria gaillardotii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria muralis","Fumaria muralis sond. ex w. d. j. koch","Exposed",1.5,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Fumaria officinalis","Fumaria officinalis l. s.l.","Exposed",NA,3.2,"Fruit","Non-fleshy fruit",0.1,0.5,NA
"Fumaria parviflora","Fumaria parviflora agg.","Exposed",1.5,NA,"Fruit","Non-fleshy fruit",0.16,0.52,NA
"Fumaria rostellata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria schleicheri","Fumaria schleicheri soy.-will.","Exposed",1.5,NA,"Fruit","Non-fleshy fruit",0.1,NA,NA
"Fumaria vaillantii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gagea minima","Gagea minima (l.) ker-gawl.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Gagea pratensis","Gagea pratensis agg.","Enclosed",0.5,NA,"Seed","Fruit with lateral aperture",0.42,NA,NA
"Gagea villosa","Gagea villosa (m. bieb.) sweet","Enclosed",1,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Galactites tomentosus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galatella sedifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galega officinalis","Galega officinalis l.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",0.06,NA,0.16
"Galega orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galeopsis","Galeopsis angustifolia hoffm._Galeopsis bifida boenn._Galeopsis ladanum l._Galeopsis pubescens besser_Galeopsis segetum neck._Galeopsis speciosa mill._Galeopsis tetrahit l.","Exposed",1.6,2.3983,"Fruit","Non-fleshy fruit",0.368,0.705,0.5
"Galeopsis angustifolia","Galeopsis angustifolia hoffm.","Exposed",1.2,1.6,"Fruit","Non-fleshy fruit",0.46,NA,NA
"Galeopsis bifida","Galeopsis bifida boenn.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",NA,0.66,0.53
"Galeopsis ladanum","Galeopsis ladanum l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.52,NA,NA
"Galeopsis pubescens","Galeopsis pubescens besser","Exposed",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Galeopsis segetum","Galeopsis segetum neck.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.52,0.75,NA
"Galeopsis speciosa","Galeopsis speciosa mill.","Exposed",2,NA,"Fruit","Non-fleshy fruit",0.12,0.77,NA
"Galeopsis tetrahit","Galeopsis tetrahit l.","Exposed",NA,3.1966,"Fruit","Non-fleshy fruit",0.22,0.64,0.47
"Galinsoga","Galinsoga ciliata (raf.) s. f. blake_Galinsoga parviflora cav.","Exposed",NA,0.2,"Fruit","Non-fleshy fruit",0.835,0.87,NA
"Galinsoga parviflora","Galinsoga parviflora cav.","Exposed",NA,0.2,"Fruit","Non-fleshy fruit",0.89,0.84,NA
"Galinsoga quadriradiata","Galinsoga ciliata (raf.) s. f. blake","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.78,0.9,NA
"Galium","Galium album ssp. album_Galium aparine agg._Galium aparine l._Galium mollugo agg._Galium mollugo s.str. l._Galium odoratum (l.) scop._Galium palustre s.l. l._Galium palustre ssp. elongatum (c. presl) lange_Galium parisiense l._Galium pusillum agg._Galium pusillum l._Galium rotundifolium l._Galium spurium l._Galium tricornutum dandy_Galium uliginosum l._Galium verum agg.","Exposed",1.18571428571429,4.14519171428571,"Fruit segment","Non-fleshy fruit",0.321818181818182,0.758,0.556666666666667
"Galium album","Galium album ssp. album","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",NA,NA,NA
"Galium aparine","Galium aparine agg._Galium aparine l.","Exposed",1.5,9.815,"Fruit segment","Non-fleshy fruit",0.145,0.915,NA
"Galium cinereum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium corrudifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium elongatum","Galium palustre ssp. elongatum (c. presl) lange","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",NA,NA,NA
"Galium mollugo","Galium mollugo agg._Galium mollugo s.str. l.","Exposed",0.8,0.789467,"Fruit segment","Non-fleshy fruit",0.39,0.615,0.57
"Galium murale",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium odoratum","Galium odoratum (l.) scop.","Exposed",NA,7.4,"Fruit segment","Non-fleshy fruit",0.54,0.93,NA
"Galium palustre","Galium palustre s.l. l.","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",0.44,0.57,NA
"Galium parisiense","Galium parisiense l.","Exposed",0.8,0.1,"Fruit segment","Non-fleshy fruit",0.4,NA,NA
"Galium pumilum","Galium pusillum agg._Galium pusillum l.","Exposed",0.6,0.549,"Fruit segment","Non-fleshy fruit",0.41,0.63,NA
"Galium rotundifolium","Galium rotundifolium l.","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",NA,NA,NA
"Galium spurium","Galium spurium l.","Exposed",1.5,NA,"Fruit segment","Non-fleshy fruit",0.1,0.9,NA
"Galium tricornutum","Galium tricornutum dandy","Exposed",2.5,NA,"Fruit segment","Non-fleshy fruit",0.06,0.83,NA
"Galium uliginosum","Galium uliginosum l.","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",0.46,NA,NA
"Galium verrucosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium verum","Galium verum agg.","Exposed",NA,0.547875,"Fruit segment","Non-fleshy fruit",0.45,0.66,0.53
"Galium verum subsp. verum","Galium verum agg.","Exposed",NA,0.547875,"Fruit segment","Non-fleshy fruit",0.45,0.66,0.53
"Gamochaeta antillana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gastridium ventricosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaudinia fragilis","Gaudinia fragilis (l.) p. beauv.","Exposed",NA,NA,"Infructescence","Non-fleshy fruit",0.64,NA,NA
"Genista scorpius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Genista sphaerocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geraniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium","Geranium columbinum l._Geranium dissectum l._Geranium molle l._Geranium palustre l._Geranium phaeum l._Geranium pratense l._Geranium pusillum burm. f._Geranium pyrenaicum burm. f._Geranium robertianum s.str. l._Geranium rotundifolium l.","Covered partly_Enclosed",1.5,2.9602,"Fruit segment_Seed","Explosive release mechanism",0.166,0.264285714285714,0.12
"Geranium columbinum","Geranium columbinum l.","Enclosed",1,4.44,"Seed","Explosive release mechanism",0.15,0.11,NA
"Geranium dissectum","Geranium dissectum l.","Enclosed",NA,2.9,"Seed","Explosive release mechanism",0.09,0.17,0.08
"Geranium molle","Geranium molle l.","Covered partly",NA,1.15,"Fruit segment","Explosive release mechanism",0.15,0.45,NA
"Geranium palustre","Geranium palustre l.","Enclosed",NA,5,"Seed","Explosive release mechanism",0.08,0.14,NA
"Geranium phaeum","Geranium phaeum l.","Covered partly",2,NA,"Fruit segment","Explosive release mechanism",0.15,NA,NA
"Geranium pratense","Geranium pratense l.","Enclosed",NA,6.1068,"Seed","Explosive release mechanism",0.08,0.1,NA
"Geranium purpureum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium pusillum","Geranium pusillum burm. f.","Covered partly",NA,1.1,"Fruit segment","Explosive release mechanism",0.28,0.55,NA
"Geranium pyrenaicum","Geranium pyrenaicum burm. f.","Covered partly",NA,2.1,"Fruit segment","Explosive release mechanism",0.14,0.33,NA
"Geranium robertianum","Geranium robertianum s.str. l.","Covered partly",NA,1.845,"Fruit segment","Explosive release mechanism",0.42,NA,0.16
"Geranium rotundifolium","Geranium rotundifolium l.","Covered partly",NA,2,"Fruit segment","Explosive release mechanism",0.12,NA,NA
"Geropogon hybridus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geum rivale","Geum rivale l.","Exposed",NA,1.21975,"Fruit segment","Non-fleshy fruit",0.68,0.96,NA
"Geum urbanum","Geum urbanum l.","Exposed",0.7,1.8825,"Fruit segment","Non-fleshy fruit",0.61,0.92,0.51
"Gladiolus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladiolus illyricus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladiolus italicus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glaucium corniculatum","Glaucium corniculatum (l.) rudolph","Covered partly",0.8,NA,"Seed","Fruit with lateral aperture",0.19,NA,NA
"Glebionis coronaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glebionis segetum","Chrysanthemum segetum l.","Covered partly",0.6,NA,"Fruit","Non-fleshy fruit",0.17,NA,NA
"Glechoma hederacea","Glechoma hederacea l.","Covered partly",0.8,0.686,"Fruit segment","Non-fleshy fruit",NA,0.51,NA
"Glechoma hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gleditsia triacanthos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Globularia bisnagarica","Globularia punctata lapeyr.","Exposed",NA,0.702,"Fruit","Non-fleshy fruit",0.72,0.94,NA
"Glyceria","Glyceria declinata breb._Glyceria maxima (hartm.) holmb.","Covered partly",0.745,NA,"Fruit","Non-fleshy fruit",0.88,0.27,0.39
"Glyceria declinata","Glyceria declinata breb.","Covered partly",0.73,NA,"Fruit","Non-fleshy fruit",NA,NA,0.41
"Glyceria maxima","Glyceria maxima (hartm.) holmb.","Covered partly",0.76,NA,"Fruit","Non-fleshy fruit",0.88,0.27,0.37
"Glycine max",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glycyrrhiza glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gnaphalium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gnaphalium uliginosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guizotia abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gypsophila repens","Gypsophila repens l.","Enclosed",NA,0.67,"Seed","Fruit with upright aperture",0.45,0.24,NA
"Gypsophila vaccaria","Vaccaria hispanica s.l. (mill.) rauschert","Enclosed",1,8.302,"Seed","Fruit with upright aperture",0.04,0.09,NA
"Hainardia cylindrica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hedera","Hedera helix l.","Exposed",NA,246.666667,"Fruit","Fleshy fruit",0.02,0.02,NA
"Hedera helix","Hedera helix l.","Exposed",NA,246.666667,"Fruit","Fleshy fruit",0.02,0.02,NA
"Hedypnois rhagadioloides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthemum apenninum","Helianthemum apenninum (l.) mill.","Covered partly",1,NA,"Seed","Fruit with lateral aperture",0.13,0.42,NA
"Helianthemum hirtum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthemum salicifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthus","Helianthus tuberosus s.l. l.","Covered partly",2,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Helianthus annuus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthus petiolaris canescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthus tuberosus","Helianthus tuberosus s.l. l.","Covered partly",2,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Helichrysum arenarium","Helichrysum arenarium (l.) moench","Exposed",NA,0.02,"Fruit","Non-fleshy fruit",0.99,NA,NA
"Helichrysum italicum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helictochloa","Helictotrichon pratense (l.) besser","Covered partly",1.23,1.95,"Fruit","Non-fleshy fruit",0.71,0.81,0.15
"Helictochloa bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helictochloa pratensis","Helictotrichon pratense (l.) besser","Covered partly",1.23,1.95,"Fruit","Non-fleshy fruit",0.71,0.81,0.15
"Heliotropium europaeum","Heliotropium europaeum l.","Covered partly",1,NA,"Fruit segment","Non-fleshy fruit",0.23,NA,NA
"Helleborus foetidus","Helleborus foetidus l.","Covered partly",NA,5.04,"Seed","Fruit with lateral aperture",0.09,0.26,NA
"Helleborus purpurascens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helminthotheca comosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helminthotheca echioides","Picris echioides l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.89,NA,NA
"Helosciadium nodiflorum","Apium nodiflorum (l.) lag.","Exposed",1,0.3448,"Fruit segment","Non-fleshy fruit",0.42,0.67,NA
"Heracleum","Heracleum sphondylium l.","Exposed",NA,6.15612,"Fruit segment","Non-fleshy fruit",0.67,0.09,0
"Heracleum sphondylium","Heracleum sphondylium l.","Exposed",NA,6.15612,"Fruit segment","Non-fleshy fruit",0.67,0.09,0
"Herniaria","Herniaria glabra l._Herniaria hirsuta l.","Exposed",NA,0.04,"Fruit","Non-fleshy fruit",0.72,0.82,0.31
"Herniaria cinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria glabra","Herniaria glabra l.","Exposed",NA,0.04,"Fruit","Non-fleshy fruit",0.78,0.82,0.31
"Herniaria hirsuta","Herniaria hirsuta l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.66,NA,NA
"Herniaria lusitanica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus trionum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium","Hieracium lachenalii c. c. gmel._Hieracium umbellatum l.","Exposed",NA,0.465,"Fruit","Non-fleshy fruit",0.95,NA,NA
"Hieracium lachenalii","Hieracium lachenalii c. c. gmel.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Hieracium umbellatum","Hieracium umbellatum l.","Exposed",NA,0.465,"Fruit","Non-fleshy fruit",0.95,NA,NA
"Himantoglossum hircinum","Himantoglossum hircinum (l.) spreng.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Himantoglossum robertianum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippocrepis","Hippocrepis comosa l.","Exposed",NA,3.8785,"Fruit segment","Non-fleshy fruit",0.35,0.56,NA
"Hippocrepis biflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippocrepis comosa","Hippocrepis comosa l.","Exposed",NA,3.8785,"Fruit segment","Non-fleshy fruit",0.35,0.56,NA
"Hirschfeldia incana","Hirschfeldia incana (l.) lagr.-foss.","Covered partly",0.98,0.1578,"Seed","Fruit with lateral aperture",0.36,0.62,NA
"Holcus","Holcus lanatus l._Holcus mollis l.","Covered partly",1.015,0.461333,"Fruit","Non-fleshy fruit",0.835,0.825,0.25
"Holcus lanatus","Holcus lanatus l.","Covered partly",1.13,0.461333,"Fruit","Non-fleshy fruit",0.77,0.83,0.42
"Holcus mollis","Holcus mollis l.","Covered partly",0.9,NA,"Fruit","Non-fleshy fruit",0.9,0.82,0.08
"Holcus x hybridus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holosteum umbellatum","Holosteum umbellatum l.","Enclosed",NA,0.086,"Seed","Fruit with upright aperture",0.73,0.38,NA
"Honorius nutans","Ornithogalum nutans agg.","Covered partly",1,5.96,"Seed","Fruit with lateral aperture",0.07,0.3,NA
"Hordelymus europaeus","Hordelymus europaeus (l.) jessen ex harz","Covered partly",NA,7.4,"Fruit","Non-fleshy fruit",0.52,0.54,0.08
"Hordeum","Hordeum murinum l._Hordeum secalinum schreb.","Covered partly",0.5,NA,"Fruit","Non-fleshy fruit",0.37,NA,0.42
"Hordeum murinum","Hordeum murinum l.","Covered partly",0.5,NA,"Fruit","Non-fleshy fruit",0.53,NA,0.42
"Hordeum murinum subsp. leporinum","Hordeum murinum l.","Covered partly",0.5,NA,"Fruit","Non-fleshy fruit",0.53,NA,0.42
"Hordeum murinum subsp. murinum","Hordeum murinum l.","Covered partly",0.5,NA,"Fruit","Non-fleshy fruit",0.53,NA,0.42
"Hordeum secalinum","Hordeum secalinum schreb.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.21,NA,NA
"Hordeum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hordeum vulgare subsp. distichon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hordeum vulgare subsp. vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hornungia petraea","Hornungia petraea (l.) rchb.","Covered partly",0.3,0.1092,"Seed","Fruit with lateral aperture",0.63,0.66,NA
"Humulus lupulus","Humulus lupulus l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.92,0.17,0.69
"Hyacinthoides","Hyacinthoides non-scripta (l.) chouard ex rothm.","Enclosed",1.5,NA,"Seed","Fruit with lateral aperture",0.05,0.1,NA
"Hyacinthoides non-scripta","Hyacinthoides non-scripta (l.) chouard ex rothm.","Enclosed",1.5,NA,"Seed","Fruit with lateral aperture",0.05,0.1,NA
"Hyacinthus orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrocotyle sibthorpioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hylotelephium maximum","Sedum maximum (l.) hoffm.","Covered partly",0.5,0.045,"Seed","Fruit with upright aperture",NA,NA,NA
"Hylotelephium telephium","Sedum telephium l. s.str.","Covered partly",0.5,NA,"Seed","Fruit with upright aperture",0.88,0.7,NA
"Hymenopus latifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyoscyamus niger","Hyoscyamus niger l.","Enclosed",NA,0.81,"Seed","Fruit with upright aperture",0.26,0.23,NA
"Hyoseris radiata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypecoum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypecoum imberbe",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypecoum pendulum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypecoum procumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum","Hypericum hirsutum l._Hypericum humifusum l._Hypericum maculatum agg._Hypericum perforatum l._Hypericum pulchrum l.","Enclosed",0.4,0.08827525,"Seed","Fruit with lateral aperture",0.716,0.406,0.545
"Hypericum androsaemum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum australe",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum hirsutum","Hypericum hirsutum l.","Enclosed",NA,0.13,"Seed","Fruit with lateral aperture",0.69,0.41,NA
"Hypericum humifusum","Hypericum humifusum l.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",0.73,0.41,0.74
"Hypericum linariifolium","Hypericum pulchrum l.","Enclosed",0.4,0.093346,"Seed","Fruit with lateral aperture",0.67,0.39,NA
"Hypericum maculatum","Hypericum maculatum agg.","Enclosed",NA,0.02368,"Seed","Fruit with lateral aperture",0.73,0.46,NA
"Hypericum perfoliatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum perforatum","Hypericum perforatum l.","Enclosed",NA,0.106075,"Seed","Fruit with lateral aperture",0.76,0.36,0.35
"Hypericum tetrapterum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum triquetrifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypochaeris achyrophorus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypochaeris glabra","Hypochaeris glabra l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.94,NA,NA
"Hypochaeris radicata","Hypochaeris radicata l.","Exposed",NA,0.82,"Fruit","Non-fleshy fruit",0.95,0.94,0.64
"Hyssopus officinalis","Hyssopus officinalis l.","Covered partly",NA,NA,"Fruit segment","Non-fleshy fruit",0.26,0.47,NA
"Iberis amara","Iberis amara l.","Covered partly",NA,3.17,"Seed","Fruit with lateral aperture",0.22,0.28,NA
"Iberis pinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA
