"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Pilosella officinarum","Hieracium pilosella l.","Exposed",NA,0.129083,"Fruit","Non-fleshy fruit",0.95,0.98,NA
"Pimpinella","Pimpinella major (l.) huds._Pimpinella saxifraga agg._Pimpinella saxifraga l.","Exposed",NA,1.541619,"Fruit segment","Non-fleshy fruit",0.503333333333333,0.693333333333333,0.433333333333333
"Pimpinella major","Pimpinella major (l.) huds.","Exposed",NA,2.6,"Fruit segment","Non-fleshy fruit",0.49,0.72,0.68
"Pimpinella saxifraga","Pimpinella saxifraga agg._Pimpinella saxifraga l.","Exposed",NA,1.0124285,"Fruit segment","Non-fleshy fruit",0.51,0.68,0.31
"Pimpinella saxifraga subsp. saxifraga","Pimpinella saxifraga agg._Pimpinella saxifraga l.","Exposed",NA,1.0124285,"Fruit segment","Non-fleshy fruit",0.51,0.68,0.31
"Pinus halepensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinus nigra","Pinus nigra j. f. arnold","Covered partly",1,17.13,"Seed","Gymnosperme type",0.9,NA,NA
"Pinus sylvestris","Pinus sylvestris l.","Covered partly",NA,6.163333,"Seed","Gymnosperme type",0.92,0.06,0.25
"Piptatherum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pistacia lentiscus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pistacia terebinthus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pistacia vera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pisum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pisum sativum",NA,NA,NA,NA,NA,NA,NA,NA,NA
