"original_taxa","accepted_gbif","gbif_key","gbif_rank","gbif_full_name","gbif_phylum","gbif_order","gbif_family","gbif_status","accepted_rank","accepted_taxa"
"Clibadium surinamense","Clibadium surinamense",3104771,"SPECIES","Clibadium surinamense L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Clibadium surinamense"
"Clidemia","Miconia",3188558,"GENUS","Miconia Ruiz & Pav.","Tracheophyta","Myrtales","Melastomataceae","HIGHERRANK_SYNONYM","GENUS","Miconia"
"Clitoria ternatea","Clitoria ternatea",2946519,"SPECIES","Clitoria ternatea L.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Clitoria ternatea"
"Cnestis ferruginea","Cnestis ferruginea",3686799,"SPECIES","Cnestis ferruginea DC.","Tracheophyta","Oxalidales","Connaraceae","EXACT_ACCEPTED","SPECIES","Cnestis ferruginea"
"Coccinia barteri","Coccinia barteri",3624777,"SPECIES","Coccinia barteri (Hook.fil.) Keay","Tracheophyta","Cucurbitales","Cucurbitaceae","EXACT_ACCEPTED","SPECIES","Coccinia barteri"
"Coccinia grandis","Coccinia grandis",2874564,"SPECIES","Coccinia grandis (L.) Voigt","Tracheophyta","Cucurbitales","Cucurbitaceae","EXACT_ACCEPTED","SPECIES","Coccinia grandis"
"Cochlospermum planchonii","Cochlospermum planchonii",3702447,"SPECIES","Cochlospermum planchonii Hook.fil. ex Planch.","Tracheophyta","Malvales","Cochlospermaceae","EXACT_ACCEPTED","SPECIES","Cochlospermum planchonii"
"Cochlospermum tinctorium","Cochlospermum tinctorium",8274949,"SPECIES","Cochlospermum tinctorium Perr. ex A.Rich.","Tracheophyta","Malvales","Cochlospermaceae","EXACT_ACCEPTED","SPECIES","Cochlospermum tinctorium"
"Cocos nucifera","Cocos nucifera",2735117,"SPECIES","Cocos nucifera L.","Tracheophyta","Arecales","Arecaceae","EXACT_ACCEPTED","SPECIES","Cocos nucifera"
"Codiaeum variegatum","Codiaeum variegatum",3071476,"SPECIES","Codiaeum variegatum (L.) Rumph. ex A.Juss.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Codiaeum variegatum"
"Coix lacryma-jobi","Coix lacryma-jobi",2706301,"SPECIES","Coix lacryma-jobi L.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Coix lacryma-jobi"
"Cola caricifolia","Cola caricifolia",7875853,"SPECIES","Cola caricifolia (G.Don) K.Schum.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Cola caricifolia"
