"id","euromed_name","tpl_name","ncbitaxon_uri"
1241,Vicia villosa subsp. ambigua,Vicia villosa subsp. ambigua,
1242,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,
1243,Viola,Viola,
1244,Viola alba,Viola alba,
1245,Viola arvensis,Viola arvensis,
1246,Viola tricolor,Viola tricolor,
1247,Vitis vinifera,Vitis vinifera,
1248,Vulpia,Vulpia,
1249,Vulpia ciliata,Vulpia ciliata,
1250,Vulpia geniculata,Vulpia geniculata,
1251,Vulpia ligustica,Vulpia ligustica,
1252,Vulpia myuros,Vulpia myuros,
1253,Vulpia unilateralis,Vulpia unilateralis,
1254,Xanthium,Xanthium,
1255,Xanthium orientale subsp. italicum,Xanthium orientale subsp. italicum,
1256,Xanthium orientale subsp. italicum,Xanthium cavanillesii,
1257,Xanthium spinosum,Xanthium spinosum,
1258,Xanthium strumarium,Xanthium strumarium,
1259,Zea mays,Zea mays,
1260,Geranium palustre,Geranium palustre,
1261,Campanula rotundifolia,Campanula rotundifolia,
1262,Galega orientalis,Galega orientalis,
1263,Scirpus sylvaticus,Scirpus sylvaticus,
