original_ID;DB;original_taxa;accepted_taxa;original_taxa_Tichy2022
STAAN;BE_ANN_EXPLORE;Stachys annua;Stachys annua;Stachys annua
LEBNT;BE_ANN_EXPLORE;Leontodon saxatilis;Leontodon saxatilis;Leontodon saxatilis
ATXPA;BE_ANN_EXPLORE;Atriplex patula;Atriplex patula;Atriplex patula
VERCH;BE_ANN_EXPLORE;Veronica chamaedrys;Veronica chamaedrys;Veronica chamaedrys aggr.
CICIN;BE_ANN_EXPLORE;Cichorium intybus;Cichorium intybus;Cichorium intybus
ERISU;BE_ANN_EXPLORE;Erigeron sumatrensis;Erigeron sumatrensis;Erigeron sumatrensis
VIOHI;BE_ANN_EXPLORE;Viola hirta;Viola hirta;Viola hirta
RUMOB;BE_ANN_EXPLORE;Rumex obtusifolius;Rumex obtusifolius;Rumex obtusifolius
LAMIN;BE_ANN_EXPLORE;Lamium hybridum;Lamium hybridum;NA
EPIAD;BE_ANN_EXPLORE;Epilobium tetragonum;Epilobium tetragonum;Epilobium tetragonum
EPIPF;BE_ANN_EXPLORE;Epilobium parviflorum;Epilobium parviflorum;Epilobium parviflorum
MALPU;BE_ANN_EXPLORE;Malva pusilla;Malva pusilla;Malva pusilla
PICHI;BE_ANN_EXPLORE;Picris hieracioides;Picris hieracioides;Picris hieracioides
LOLMU;BE_ANN_EXPLORE;Lolium multiflorum;Lolium multiflorum;Lolium multiflorum
DACGL;BE_ANN_EXPLORE;Dactylis glomerata;Dactylis glomerata;Dactylis glomerata
ARREL;BE_ANN_EXPLORE;Arrhenatherum elatius;Arrhenatherum elatius;Arrhenatherum elatius
AVEFA;BE_ANN_EXPLORE;Avena fatua;Avena fatua;Avena fatua
HORMU;BE_ANN_EXPLORE;Hordeum murinum;Hordeum murinum;Hordeum murinum
ATXHA;BE_ANN_EXPLORE;Atriplex prostrata;Atriplex prostrata;Atriplex prostrata
ECHCG;BE_ANN_EXPLORE;Echinochloa crus-galli;Echinochloa crus-galli;Echinochloa crus-galli
CAGSE;BE_ANN_EXPLORE;Calystegia sepium;Convolvulus sepium;Calystegia sepium
CARHI;BE_ANN_EXPLORE;Cardamine hirsuta;Cardamine hirsuta;Cardamine hirsuta
SOLNI;BE_ANN_EXPLORE;Solanum nigrum;Solanum nigrum;Solanum nigrum
CIRVU;BE_ANN_EXPLORE;Cirsium vulgare;Cirsium vulgare;Cirsium vulgare
ALAPE;BE_ANN_EXPLORE;Alliaria petiolata;Alliaria petiolata;Alliaria petiolata
SSYOF;BE_ANN_EXPLORE;Sisymbrium officinale;Sisymbrium officinale;Sisymbrium officinale
SENJA;BE_ANN_EXPLORE;Jacobaea vulgaris;Jacobaea vulgaris;Jacobaea vulgaris
CHEPO;BE_ANN_EXPLORE;Lipandra polysperma;Lipandra polysperma;Lipandra polysperma
HERSP;BE_ANN_EXPLORE;Heracleum sphondylium;Heracleum sphondylium;Heracleum sphondylium
FESPR;BE_ANN_EXPLORE;Lolium pratense;Lolium perenne;Lolium perenne
CCTLA;BE_ANN_EXPLORE;Cruciata laevipes;Cruciata laevipes;Cruciata laevipes
SYMOF;BE_ANN_EXPLORE;Symphytum officinale;Symphytum officinale;Symphytum officinale
VERSE;BE_ANN_EXPLORE;Veronica serpyllifolia;Veronica serpyllifolia;Veronica serpyllifolia
LOTCO;BE_ANN_EXPLORE;Lotus corniculatus;Lotus corniculatus;Lotus corniculatus
LACSE;BE_ANN_EXPLORE;Lactuca serriola;Lactuca serriola;Lactuca serriola
ANRCA;BE_ANN_EXPLORE;Anthriscus caucalis;Anthriscus caucalis;Anthriscus caucalis
VLPMY;BE_ANN_EXPLORE;Festuca myuros;Vulpia alopecuros;Vulpia alopecuros
PHCTA;BE_ANN_EXPLORE;Phacelia tanacetifolia;Phacelia tanacetifolia;NA
EPIMO;BE_ANN_EXPLORE;Epilobium montanum;Epilobium montanum;Epilobium montanum
CHAAN;BE_ANN_EXPLORE;Chamerion angustifolium;Chamaenerion angustifolium;Epilobium angustifolium
ARFMI;BE_ANN_EXPLORE;Arctium minus;Arctium minus;Arctium minus
PAPSO;BE_ANN_EXPLORE;Papaver somniferum;Papaver somniferum;Papaver somniferum
ERICA;BE_ANN_EXPLORE;Erigeron canadensis;Erigeron canadensis;Erigeron canadensis
HYPHU;BE_ANN_EXPLORE;Hypericum humifusum;Hypericum humifusum;Hypericum humifusum
POLHY;BE_ANN_EXPLORE;Persicaria hydropiper;Persicaria hydropiper;Persicaria hydropiper
POLCU;BE_ANN_EXPLORE;Reynoutria japonica;Reynoutria japonica;Reynoutria japonica
COPSQ;BE_ANN_EXPLORE;Lepidium coronopus;Lepidium coronopus;Lepidium coronopus
RANPF;BE_ANN_EXPLORE;Ranunculus parviflorus;Ranunculus parviflorus;Ranunculus parviflorus
EROMC;BE_ANN_EXPLORE;Erodium malacoides;Erodium malacoides;Erodium malacoides
GERPU;BE_ANN_EXPLORE;Geranium pusillum;Geranium pusillum;Geranium pusillum
BRCPI;BE_ANN_EXPLORE;Brachypodium pinnatum;Brachypodium pinnatum;Brachypodium pinnatum
ANTCO;BE_ANN_EXPLORE;Anthemis cotula;Anthemis cotula;Anthemis cotula
SETVE;BE_ANN_EXPLORE;Setaria verticillata;Setaria verticillata;Setaria verticillata
POLAM;BE_ANN_EXPLORE;Persicaria amphibia;Persicaria amphibia;Persicaria amphibia
BEAVX;BE_ANN_EXPLORE;Beta vulgaris;Beta vulgaris;Beta vulgaris
URTDI;BE_ANN_EXPLORE;Urtica dioica;Urtica dioica;Urtica dioica
CHYVU;BE_ANN_EXPLORE;Tanacetum vulgare;Tanacetum vulgare;Tanacetum vulgare
AOXOD;BE_ANN_EXPLORE;Anthoxanthum odoratum;Anthoxanthum odoratum;Anthoxanthum pauciflorum
VICVI;BE_ANN_EXPLORE;Vicia villosa;Vicia villosa;Vicia villosa
GAEBI;BE_ANN_EXPLORE;Galeopsis bifida;Galeopsis bifida;NA
CHEFI;BE_ANN_EXPLORE;Chenopodium ficifolium;Chenopodium ficifolium;Chenopodium ficifolium
GALAL;BE_ANN_EXPLORE;Galium album;Galium album;NA
FESAR;BE_ANN_EXPLORE;Lolium arundinaceum;Schedonorus arundinaceus;Schedonorus arundinaceus
GASCI;BE_ANN_EXPLORE;Galinsoga quadriradiata;Galinsoga quadriradiata;Galinsoga quadriradiata
RASRU;BE_ANN_EXPLORE;Rapistrum rugosum;Rapistrum rugosum;Rapistrum rugosum
LIUUT;BE_ANN_EXPLORE;Linum usitatissimum;Linum usitatissimum;Linum usitatissimum
LAMAL;BE_ANN_EXPLORE;Lamium album;Lamium album;Lamium album
CICEN;BE_ANN_EXPLORE;Cichorium endivia;Cichorium endivia;Cichorium endivia
RUMLO;BE_ANN_EXPLORE;Rumex longifolius;Rumex longifolius;Rumex longifolius
GERSS;BE_ANN_EXPLORE;Geranium;Geranium;Geranium columbinum_Geranium dissectum_Geranium molle_Geranium palustre_Geranium phaeum_Geranium pratense_Geranium purpureum_Geranium pusillum_Geranium pyrenaicum_Geranium robertianum_Geranium rotundifolium
MATMT;BE_ANN_EXPLORE;Matricaria discoidea;Matricaria discoidea;Matricaria discoidea
TFRSS;BE_ANN_EXPLORE;Trifolium;Trifolium;Trifolium alpestre_Trifolium angustifolium_Trifolium arvense_Trifolium aureum_Trifolium campestre_Trifolium cherleri_Trifolium dubium_Trifolium fragiferum_Trifolium glomeratum_Trifolium hirtum_Trifolium hybridum_Trifolium incarnatum_Trifolium lappaceum_Trifolium medium_Trifolium michelianum_Trifolium micranthum_Trifolium montanum_Trifolium nigrescens_Trifolium pallidum_Trifolium pratense_Trifolium repens_Trifolium resupinatum_Trifolium rubens_Trifolium scabrum_Trifolium squamosum_Trifolium squarrosum_Trifolium stellatum_Trifolium striatum_Trifolium strictum_Trifolium subterraneum_Trifolium suffocatum_Trifolium tomentosum_Trifolium vesiculosum
ADXMO;BE_ANN_EXPLORE;Adoxa moschatellina;Adoxa moschatellina;Adoxa moschatellina
LINPU;BE_ANN_EXPLORE;Linaria purpurea;Linaria purpurea;Linaria purpurea
BRSNN;BE_ANN_EXPLORE;Brassica napus;Brassica napus;Brassica napus
HYDSI;BE_ANN_EXPLORE;Hdrocotyle sibthorpioides;Hydrocotyle sibthorpioides;Hydrocotyle sibthorpioides
SCUNO;BE_ANN_EXPLORE;Scrophularia nodosa;Scrophularia nodosa;Scrophularia nodosa
VERMO;BE_ANN_EXPLORE;Veronica montana;Veronica montana;Veronica montana
TRFAR;BE_ANN_EXPLORE;Trifolium arvense;Trifolium arvense;Trifolium arvense
DIGSA;BE_ANN_EXPLORE;Digitaria sanguinalis;Digitaria sanguinalis;Digitaria sanguinalis
SETPU;BE_ANN_EXPLORE;Ornithopus perpusillus;Ornithopus perpusillus;Ornithopus perpusillus
ELYRE;BE_ANN_EXPLORE;Elymus repens;Elytrigia repens;Elytrigia repens aggr.
1TRFG;BE_ANN_EXPLORE;Trifolium;Trifolium;Trifolium alpestre_Trifolium angustifolium_Trifolium arvense_Trifolium aureum_Trifolium campestre_Trifolium cherleri_Trifolium dubium_Trifolium fragiferum_Trifolium glomeratum_Trifolium hirtum_Trifolium hybridum_Trifolium incarnatum_Trifolium lappaceum_Trifolium medium_Trifolium michelianum_Trifolium micranthum_Trifolium montanum_Trifolium nigrescens_Trifolium pallidum_Trifolium pratense_Trifolium repens_Trifolium resupinatum_Trifolium rubens_Trifolium scabrum_Trifolium squamosum_Trifolium squarrosum_Trifolium stellatum_Trifolium striatum_Trifolium strictum_Trifolium subterraneum_Trifolium suffocatum_Trifolium tomentosum_Trifolium vesiculosum
CERVU;BE_ANN_EXPLORE;Cerastium holosteoides;Cerastium fontanum subsp. vulgare;Cerastium fontanum
IUNIN;BE_ANN_EXPLORE;Juncus inflexus;Juncus inflexus;Juncus inflexus
VICAN;BE_ANN_EXPLORE;Setaria pumila;Setaria pumila;Setaria pumila
LEMMI;BE_ANN_EXPLORE;Lemna minor;Lemna minor;Lemna minor
